n,step_ratio,pattern,family,method_label,threshold_mode,threshold_range,gain_scheme,feedback_noise_alpha,feedback_bias_alpha,R,R_abs,R2,R2_norm,R2_max_norm,avg_switch_noidle
4,1.5,random,CT,CT-HT1,clamped,HT1,,0.4,0.0,1.69646151,201.36379384,3.6840202900000003,1.8420101299999998,4.60623882,134.66812
4,1.5,random,CT,CT-HT1,clamped,HT1,,0.4,0.05,1.69370416,200.95418352000002,3.67916886,1.8395844099999998,4.6365757,135.18808
4,1.5,random,CT,CT-HT1,clamped,HT1,,0.4,0.1,1.69482346,200.52005996,3.68622461,1.8431123,4.7280488400000005,135.74182000000002
4,1.5,random,CT,CT-HT1,clamped,HT1,,0.4,0.2,1.7096430200000001,199.65398140000002,3.73731367,1.86865681,5.04125847,137.2513
4,1.5,random,CT,CT-HT2,clamped,HT2,,0.0,0.0,1.53088035,191.26269431,3.2828690799999998,1.6414345,2.79274308,101.4244
4,1.5,random,CT,CT-HT2,clamped,HT2,,0.0,0.05,1.52878707,190.84427346,3.27872678,1.6393634,2.85194907,101.7392
4,1.5,random,CT,CT-HT2,clamped,HT2,,0.0,0.1,1.53103651,190.49560198999998,3.2865490299999998,1.6432745199999998,2.9719609200000003,102.169
4,1.5,random,CT,CT-HT2,clamped,HT2,,0.0,0.2,1.5456792799999999,190.10387161,3.3386511000000003,1.66932564,3.28182393,102.8936
4,1.5,random,CT,CT-HT2,clamped,HT2,,0.05,0.0,1.5308244500000001,191.0565881,3.28385113,1.64192551,2.8611394999999997,101.86674
4,1.5,random,CT,CT-HT2,clamped,HT2,,0.05,0.05,1.5287972300000001,190.63989475,3.27978772,1.63989383,2.91447879,102.28968
4,1.5,random,CT,CT-HT2,clamped,HT2,,0.05,0.1,1.53061287,190.290129,3.2875672,1.6437836300000002,3.02885064,102.64718
4,1.5,random,CT,CT-HT2,clamped,HT2,,0.05,0.2,1.54507383,189.89895886,3.33924109,1.66962054,3.33437753,103.46494000000001
4,1.5,random,CT,CT-HT2,clamped,HT2,,0.1,0.0,1.5300831199999998,190.53643578,3.28535345,1.64267672,3.00434956,103.45765999999999
4,1.5,random,CT,CT-HT2,clamped,HT2,,0.1,0.05,1.52790101,190.11519289,3.2814212400000002,1.6407106200000001,3.04983769,103.82796
4,1.5,random,CT,CT-HT2,clamped,HT2,,0.1,0.1,1.52942048,189.79397429,3.2890190599999998,1.6445095800000002,3.15638597,104.26118000000001
4,1.5,random,CT,CT-HT2,clamped,HT2,,0.1,0.2,1.5433968100000002,189.33822355,3.34045317,1.67022662,3.45791992,105.11954
4,1.5,random,CT,CT-HT2,clamped,HT2,,0.2,0.0,1.5258087,188.528335,3.2912147700000003,1.64560741,3.3555782499999998,109.69463999999999
4,1.5,random,CT,CT-HT2,clamped,HT2,,0.2,0.05,1.52322171,188.13234849,3.28705582,1.64352792,3.3958512,110.07518
4,1.5,random,CT,CT-HT2,clamped,HT2,,0.2,0.1,1.52450386,187.78006691,3.29483911,1.6474195800000002,3.4927018,110.51288000000001
4,1.5,random,CT,CT-HT2,clamped,HT2,,0.2,0.2,1.5380859,187.28792431999997,3.34551413,1.67275711,3.81017765,111.4959
4,1.5,random,CT,CT-HT2,clamped,HT2,,0.4,0.0,1.51371963,180.84554724999998,3.32241968,1.6612099,4.16518732,131.50066
4,1.5,random,CT,CT-HT2,clamped,HT2,,0.4,0.05,1.51148711,180.42394525,3.31867494,1.65933752,4.2048229500000005,131.9153
4,1.5,random,CT,CT-HT2,clamped,HT2,,0.4,0.1,1.5131932000000001,180.05516175,3.32639638,1.6631981999999998,4.30705144,132.42168
4,1.5,random,CT,CT-HT2,clamped,HT2,,0.4,0.2,1.5291351599999998,179.39334986000003,3.37613172,1.68806584,4.63528562,133.81655999999998
4,1.5,random,LFTA,LFTA-HM,clamped,HM,,0.0,0.0,1.36634332,78.73173022,3.1477223600000004,1.57386121,5.334747599999999,118.91293999999999
4,1.5,random,LFTA,LFTA-HM,clamped,HM,,0.0,0.05,1.35628716,79.22521660000001,3.13411414,1.56705704,5.26255039,118.44674
4,1.5,random,LFTA,LFTA-HM,clamped,HM,,0.0,0.1,1.35248696,80.19429226,3.1341959,1.56709797,5.36852094,117.65716
4,1.5,random,LFTA,LFTA-HM,clamped,HM,,0.0,0.2,1.3643832800000002,84.37453508,3.16873537,1.58436766,5.62643009,115.134
4,1.5,random,LFTA,LFTA-HM,clamped,HM,,0.05,0.0,1.3573616899999998,78.86591056,3.13527224,1.56763611,5.31969611,118.18768
4,1.5,random,LFTA,LFTA-HM,clamped,HM,,0.05,0.05,1.35339324,78.97125245000001,3.13021274,1.56510629,5.3202691600000005,118.37252000000001
