family,feedback_noise_alpha,feedback_bias_alpha,comparisons,median_R_change_percent,q25_R_change_percent,q75_R_change_percent,median_R_abs_change_percent,median_R2_norm_change_percent,median_R2_max_norm_change_percent
CT,0.0,0.0,7200,0.0,0.0,0.0,0.0,0.0,0.0
CT,0.0,0.05,7200,0.5952892446417168,-1.5304787410510028,4.247278498619683,0.00849799785404004,0.39897821541517997,1.507932195990891
CT,0.0,0.1,7200,2.0789275282018904,-2.142175167096258,9.274379741937011,0.3420510655621434,1.320283131092348,4.795758291373908
CT,0.0,0.2,7200,7.776068073619003,-1.8139411372699976,22.341394130021108,2.274244959565641,4.816249553587804,14.422606765226408
CT,0.05,0.0,7200,-0.09655915051473007,-1.0746840830177462,1.1463081065539282,-0.2566434059496969,0.025488544304475003,3.2667204263096106
CT,0.05,0.05,7200,0.22632724261957282,-3.1177645279789057,4.32470519353691,-0.39103886858088965,0.32273536740000663,4.5729003198782925
CT,0.05,0.1,7200,1.5276026325370728,-3.367548040696225,9.282187180078338,-0.023319009918976175,1.2233606927716134,7.931109103668
CT,0.05,0.2,7200,7.659609568992809,-2.1618246778897925,22.942026886427136,2.0179191257748474,4.864073808327152,18.232413254441695
CT,0.1,0.0,7200,-0.32043826603564973,-2.029317924921828,2.676629308381906,-0.6737515928859739,0.17058779225389564,8.543180857572475
CT,0.1,0.05,7200,0.15705867444896215,-3.819983454116244,5.143558629300676,-0.7302093561381007,0.5210843765861783,9.844724629317557
CT,0.1,0.1,7200,1.3586926300347524,-4.221173828945632,9.566053773020283,-0.31021888251785423,1.3244467305806862,13.223652844438915
CT,0.1,0.2,7200,7.497790363475454,-2.779135512785569,22.13374077420845,1.8224683941302944,4.8517606696552695,24.09579618452956
CT,0.2,0.0,7200,-0.4485020600742462,-3.855508797510543,5.2218152065277526,-1.7324746174209815,0.9196196016199476,23.266348888825085
CT,0.2,0.05,7200,-0.08009911847816631,-4.693088981148316,7.188060637023791,-1.4129527379144413,1.245259341389593,24.315768352859514
CT,0.2,0.1,7200,1.4999930613440626,-5.132876679689138,11.261299369265403,-0.8309693013972996,2.1513318735608022,27.488203683293065
CT,0.2,0.2,7200,7.228234939716483,-3.7752365304132507,23.602996828010696,1.6811541036710675,5.522220659034249,39.215712728029196
CT,0.4,0.0,7200,3.546740015861649,-5.692832285055985,18.174251353439303,-6.5885763721789505,5.647689066131445,63.395985039856356
CT,0.4,0.05,7200,3.5941695050557443,-5.643800909654445,19.24412923677501,-6.2699113189138735,5.849354770734083,65.12489738242513
CT,0.4,0.1,7200,4.932557534464788,-5.21870724119586,22.53379157410247,-4.813787738640429,6.633255567025886,69.12078818252996
CT,0.4,0.2,7200,10.765511423056795,-3.531937435491264,34.2883712812678,4.507999445999655,10.444250962817813,84.84946162967105
LFTA,0.0,0.0,7200,0.0,0.0,0.0,0.0,0.0,0.0
LFTA,0.0,0.05,7200,0.5146303624409487,-1.4606467773857434,2.830151162796357,0.11642102247877428,0.06585670498465701,0.8196229747172046
LFTA,0.0,0.1,7200,1.926071552041897,-1.4484324522375887,6.474775134652905,0.5618115315600858,0.630163082715518,2.7485214788951606
LFTA,0.0,0.2,7200,6.347032241018368,-0.39604703828883814,16.47321353762456,2.768252041793129,3.047806178447776,8.81360564227468
LFTA,0.05,0.0,7200,0.14875377246094112,-0.9513062719050669,1.3843142540060194,-0.34072753391359845,-0.028585716578433118,1.1732316734154757
LFTA,0.05,0.05,7200,0.47215846177425247,-1.7798472687247435,3.091721613804743,-0.27984823511481016,-0.16268765480108582,1.8613882929172876
LFTA,0.05,0.1,7200,1.7310619870432475,-2.090028142418171,6.231561763031202,0.20057765662965243,0.3574894009537366,3.799917234540673
LFTA,0.05,0.2,7200,6.135809296435091,-1.0233045075802194,16.182883390371877,2.6025620430832452,2.836220165278902,10.104812535706408
LFTA,0.1,0.0,7200,0.5396771048110649,-0.7324488088596898,2.828316987814239,-0.5995391755491797,0.04736176125127445,3.3706493165667317
LFTA,0.1,0.05,7200,0.9340925291365765,-1.65628259847648,4.326527378389722,-0.5080204548657652,-0.056597289402404716,4.030337043805932
LFTA,0.1,0.1,7200,2.057035425710052,-1.98098468960754,7.169051575042717,-0.013770186535694284,0.40262335851719566,5.80769870246276
LFTA,0.1,0.2,7200,6.256767776749427,-1.1216412627740784,15.826969657147078,2.442936057383538,2.8672354873568007,11.994460369101056
LFTA,0.2,0.0,7200,1.8187186825931234,-0.4473113159963821,6.273350819356033,-1.0853714308323936,0.5796030815938047,8.751243934150466
LFTA,0.2,0.05,7200,2.337266329902421,-1.0042129083663143,7.17129348719458,-0.8149976659197644,0.5975596997124688,9.37465184708508
LFTA,0.2,0.1,7200,3.4799401034996236,-1.2793765081658914,9.687076449206248,-0.3954616393032573,1.105896905763748,11.01546281354311
LFTA,0.2,0.2,7200,7.256479388289472,-0.721150386559466,17.559152725346088,2.1334643132000064,3.4565169827770026,16.93390952556706
LFTA,0.4,0.0,7200,5.510097140300441,0.1678076625664937,14.48720717599618,-3.244986240146713,3.4396755016813274,22.310521208908995
LFTA,0.4,0.05,7200,5.790378172127896,-0.10015350963442915,15.298875849261345,-3.0649194164760085,3.520096818969809,22.76954654511301
LFTA,0.4,0.1,7200,6.777855727218817,-0.18531095264717468,17.53137082607874,-2.3050824235415215,3.9543335517530864,24.362933772165785
LFTA,0.4,0.2,7200,11.128645206617705,0.7993611381296006,24.7930224483382,1.9640643890759701,6.171173278640374,30.992366118640714
PTA,0.0,0.0,28800,0.0,0.0,0.0,0.0,0.0,0.0
PTA,0.0,0.05,28800,2.7306351016614494,-1.9453174070351853,7.618043604051356,0.14104297899135698,0.7092248605184204,2.7367504902668927
PTA,0.0,0.1,28800,7.806551517490801,-1.8866305192299122,17.504345258240583,1.0296881670119107,2.777013207254053,7.62241260513864
PTA,0.0,0.2,28800,23.103129200880545,2.0774821449359604,44.345399967148765,10.974501503594158,11.841597836776629,22.177819215646277
PTA,0.05,0.0,28800,0.9061411374422623,-0.19931668580220607,4.347285012416046,-0.2228769669210373,0.2756789666339854,1.9647397148154333
PTA,0.05,0.05,28800,3.9671809335811825,-1.941420955936604,10.238533970797631,0.01975634588368136,1.0285670167409555,4.549652606290633
PTA,0.05,0.1,28800,8.575133850908056,-1.7556379605847687,18.363851014628388,1.2344027297621074,3.122465629404414,9.85858338828658
PTA,0.05,0.2,28800,23.54831233680592,2.0003491836984075,44.73676354571472,14.184107224344467,12.306101478771513,25.451378955898807
PTA,0.1,0.0,28800,2.9066464445041906,-0.16065822406337305,9.828625898519256,-0.4977741026278182,0.9807389422088697,5.772634397524845
PTA,0.1,0.05,28800,6.069027966003404,-1.5838738873118956,14.976611030835159,-0.12356412312021225,2.0324015632252723,8.328216421925095
PTA,0.1,0.1,28800,10.678822163091471,-1.3050857523384973,22.378347113765862,1.1229867397172133,4.182529288305792,13.681229830559127
PTA,0.1,0.2,28800,24.41126709292312,2.4106260832015947,45.17157948628286,16.725067154384313,13.101639705551971,30.034342432234507
PTA,0.2,0.0,28800,9.268289311072298,0.94675906771573,22.976701507502558,-1.1007134380096983,3.872015587438915,16.328617766769312
PTA,0.2,0.05,28800,11.890283682024393,0.8006652274430981,26.433111527279095,-0.2895746443080993,5.272963106219586,18.926819660856275
PTA,0.2,0.1,28800,16.772180248104018,0.8407162873114049,33.879994964075905,1.0277412840259403,7.762345321349507,24.522616921616425
PTA,0.2,0.2,28800,30.165792018576298,5.471319277546771,54.07099106184384,21.46170373051103,16.71721714379086,42.27758744411892
PTA,0.4,0.0,28800,28.637005190769692,8.167372381090825,55.55564056558991,-4.3254502792647305,14.920826741259596,45.9482714962984
PTA,0.4,0.05,28800,30.157066167422244,9.197821791037859,57.533404954890955,-1.9841841079533629,16.56915866438502,48.272784225420935
PTA,0.4,0.1,28800,34.62220973142072,10.782382765035237,63.97640418306412,3.3955915407709703,19.71773564052758,54.57988210569641
PTA,0.4,0.2,28800,49.728185588839025,17.25381276983491,85.71388455420637,44.4386036152033,30.440672221595488,76.19746570708443
SBTA,0.0,0.0,7200,0.0,0.0,0.0,0.0,0.0,0.0
SBTA,0.0,0.05,7200,1.1753147050723833,-3.601284414368047,11.47018244117154,1.3342480045018146,1.0405284421393657,5.148227082533651
SBTA,0.0,0.1,7200,4.276738850756945,-5.14227546057526,20.73660589981145,3.3351709689737885,2.8549639170271535,10.794637902519987
SBTA,0.0,0.2,7200,14.804652414520714,-4.088407835799984,44.20169185650093,12.788392933574622,9.880466117255137,24.721279660631968
SBTA,0.05,0.0,7200,-0.18579535203305242,-1.62440660822252,1.0530237779957874,-0.24040116472969775,-0.08957155998563504,1.8437861940986067
SBTA,0.05,0.05,7200,0.5949366111406174,-4.433254795468325,9.674238086290154,0.8123026313041515,0.6430533441890818,6.781932218870268
SBTA,0.05,0.1,7200,3.0207777869401875,-5.911245132052498,19.844306747284033,2.9410029175164554,2.401567281524142,12.530284463888519
SBTA,0.05,0.2,7200,13.304953688139175,-4.974490972112933,44.08068521985231,14.244714724353935,9.260378708215777,26.916764664617645
SBTA,0.1,0.0,7200,-0.4163419500021803,-2.6125894156590252,2.4487982424904353,-0.6710550004751292,-0.12529268963842322,5.252077340636974
SBTA,0.1,0.05,7200,0.5065951433786631,-4.679752703847104,8.838740452005322,0.12471087382228685,0.5745568610421747,11.117590649738885
SBTA,0.1,0.1,7200,2.873679725438383,-6.38716203447767,18.311273612512924,2.1599164293241047,2.330778995690652,17.04016621458415
SBTA,0.1,0.2,7200,13.07977510034759,-5.490605032535395,42.6455005753052,15.324913468304823,9.038603786986776,32.22633680526489
SBTA,0.2,0.0,7200,-0.7010073285480534,-4.563625563214657,5.793605195104612,-1.7543978632096058,0.4898783106791371,14.713313142810646
SBTA,0.2,0.05,7200,0.4975243576777699,-5.58603666980135,10.170880377513287,-0.8813566671764583,0.9819134631745552,21.071816788178033
SBTA,0.2,0.1,7200,3.140693706192277,-6.70447760589298,17.99354251179653,1.0513049912554306,2.665141143748717,27.842376033989137
SBTA,0.2,0.2,7200,12.218605563734641,-6.387606894146439,40.27174022932905,14.87670414930058,9.164543381964263,45.270323949430676
SBTA,0.4,0.0,7200,4.063526837030085,-5.987485111890467,15.948738207363384,-6.408023217309161,4.512700619783427,41.47386205443341
SBTA,0.4,0.05,7200,4.956920404612575,-6.06796984407367,19.524067870225963,-5.352171353054391,5.325012227199588,47.04881088047385
SBTA,0.4,0.1,7200,7.119402523962126,-5.917589113165011,26.60387833349413,-0.6623776962480343,7.169875131846815,55.41666357071185
SBTA,0.4,0.2,7200,16.573323196303825,-3.8306968054895725,47.036119725595626,32.19984327108912,14.164985741660463,78.65412059575984
SETA,0.0,0.0,14400,0.0,0.0,0.0,0.0,0.0,0.0
SETA,0.0,0.05,14400,1.2951074162091736,-1.706496037319119,5.495848354193739,0.09655297811872465,0.43748584276794844,2.375510599871389
SETA,0.0,0.1,14400,4.726652662780251,-1.4812014975602779,13.151645015334617,0.7811783058831678,1.846533461786104,7.075533781878319
SETA,0.0,0.2,14400,15.511530629612913,0.21099036151226436,35.688636684219844,6.0163604834336475,8.451882178286551,21.582272361675614
SETA,0.05,0.0,14400,0.16638326249326374,-0.35590109215444254,1.8779380137689372,-0.306949084931013,0.06761093964027243,2.054789204123031
SETA,0.05,0.05,14400,1.7084841133840345,-1.916349580536683,6.528677210688899,-0.2426818793852259,0.43761293050121886,4.129143891020481
SETA,0.05,0.1,14400,4.947431229640675,-1.341415898394338,13.401566543152926,0.4937995147899277,1.862582571530802,9.000902091816476
SETA,0.05,0.2,14400,16.017092741055894,0.3617340847064887,35.48488442126345,6.13636817555403,8.517048697545182,24.105630832908354
SETA,0.1,0.0,14400,0.851505332863689,-0.6060746692351904,4.858888280683199,-0.6476301823913067,0.3370519910761094,5.895779880711904
SETA,0.1,0.05,14400,2.772707690930032,-1.752734556736546,8.638991834422205,-0.41678840398191586,0.7120127721794933,8.251297581980577
SETA,0.1,0.1,14400,5.649561533710656,-1.5288729915044708,14.91208205588212,0.4958643790140105,2.1592800001053347,12.953305166984052
SETA,0.1,0.2,14400,16.105279721979006,0.26969086770058937,34.77277918787884,6.710200157766488,8.568432354330168,28.60005909660851
SETA,0.2,0.0,14400,2.8636658980979224,-0.9082372146930751,11.344220179847698,-1.5257212019000432,1.5849451988716567,16.319504327106003
SETA,0.2,0.05,14400,4.515023357798775,-1.6230823028309915,14.112625176509773,-0.735741946660784,1.8695823501258646,18.922914986413474
SETA,0.2,0.1,14400,7.706244206750268,-1.6305132594535032,20.414558663924325,0.5849434124343911,3.4539307672574404,23.963748358986237
SETA,0.2,0.2,14400,17.158277212826135,0.5519118864717953,39.045162996466566,7.3022726805620835,9.732719105235187,40.638479443979065
SETA,0.4,0.0,14400,11.413437203827293,0.6007547596440677,28.860985615973927,-6.31652867663775,7.502821663324932,46.314061008364334
SETA,0.4,0.05,14400,12.335438780534846,0.40361839673471733,29.73597157819245,-5.442477634586668,7.9479434788014665,49.762769064060464
SETA,0.4,0.1,14400,15.281684011092722,0.679063766096305,36.26142322500815,-1.4143713952460335,9.57621462924838,55.9073111935919
SETA,0.4,0.2,14400,25.511683095483896,3.9686834918622074,60.21100781801596,27.838707401363827,16.701208207257444,77.78288349341646
