family,feedback_noise_alpha,feedback_bias_alpha,units,operating_conditions,median_log_R_degradation,ci_low_log_R_degradation,ci_high_log_R_degradation,median_log_R_abs_degradation,ci_low_log_R_abs_degradation,ci_high_log_R_abs_degradation,median_R_degradation_percent,ci_low_R_degradation_percent,ci_high_R_degradation_percent,median_R_abs_degradation_percent,ci_low_R_abs_degradation_percent,ci_high_R_abs_degradation_percent
CT,0.0,0.0,72,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT,0.0,0.05,72,24,0.0011539155760465886,-0.00023621973822357238,0.0035078649927253397,-0.0002616366856803216,-0.0011568586389981077,0.0006577736201867454,0.1154581592775967,-0.023619184053791376,0.3514024751557105,-0.026160246178748174,-0.11561897360097273,0.06579900006949817
CT,0.0,0.1,72,24,0.01147115983871961,0.005358929372786925,0.019042172301960987,0.0019771356274035858,-0.00036291366126023556,0.008262321097537655,1.1537205892759999,0.5373314118931884,1.9224630759968178,0.19790914488104872,-0.03628478160630857,0.8296548272861415
CT,0.0,0.2,72,24,0.05509625200435596,0.027474679664658417,0.07617463352220781,0.008784326028118449,0.003017019641792015,0.18974316073293152,5.6642313721630275,2.785558912956132,7.915101364538625,0.8823021441387486,0.3021575426029533,20.89390547583987
CT,0.05,0.0,72,24,-0.000801091683037351,-0.002838146986917689,0.0005584481156405236,-0.0020903609282190956,-0.0047874015729876184,-0.0011497528708396634,-0.08007708947610268,-0.28341232553054124,0.05586040768201794,-0.20881776453620088,-0.47759602314576544,-0.1149092158250653
CT,0.05,0.05,72,24,-0.0008669182060224896,-0.0035858678951404916,0.0012986801401398658,-0.0031399187692432327,-0.005899915872663969,-0.0010160255297590316,-0.08665425409993144,-0.3579446348758555,0.1299523790364132,-0.3134994379713875,-0.5882545546954221,-0.10155095505846035
CT,0.05,0.1,72,24,0.005584671892145461,0.0007989223318763574,0.016729991740606718,-0.0010713000407243354,-0.0039046934532505815,0.001405106719055815,0.5600295242438359,0.07992415553284643,1.687072176108817,-0.1070726403699783,-0.3897080050327073,0.14060943440204388
CT,0.05,0.2,72,24,0.048990685458515947,0.026833875032990343,0.09170622443065699,0.00763604820489484,0.0014000479932394102,0.1718642083496033,5.021056846456256,2.7197145496757402,9.604278418675147,0.7665277171555109,0.1401028517971599,18.751656743031546
CT,0.1,0.0,72,24,-0.002644737453989543,-0.009349835360321405,0.0017336040141882236,-0.006265752040386284,-0.01210227413991627,-0.00336109233720601,-0.26412432170145367,-0.9306261558059581,0.17351075743610095,-0.6246163150466463,-1.2029336155239267,-0.3355450189386463
CT,0.1,0.05,72,24,-0.002014487412295251,-0.009625983129181307,0.0027753064866999373,-0.006855704440694459,-0.011412012666479275,-0.003172824024870618,-0.2012459694360735,-0.957980165307204,0.27791612149400413,-0.6832257710886057,-1.1347142650240838,-0.31677959378750176
CT,0.1,0.1,72,24,0.004858840705132355,-0.003377185493721389,0.015635350298465626,-0.006079870938166754,-0.009129779931332026,1.1765537351855198e-05,0.4870664013065149,-0.33714892170571265,1.5758221933043437,-0.606142592289016,-0.9088230033819187,0.0011765606566061233
CT,0.1,0.2,72,24,0.04446815104506811,0.023280599581661936,0.07975740025086028,0.003929145604088112,-0.0041278743327289565,0.1646158285960856,4.547167899982269,2.355370799793244,8.302429437975084,0.393687481642862,-0.41193663701015787,17.894011662200406
CT,0.2,0.0,72,24,-0.0024720998597351665,-0.019817013879322984,0.01087192201050001,-0.020981325122202115,-0.029907242025391894,-0.0051747095508759226,-0.246904673726966,-1.9621947529075372,1.0931236112477987,-2.0762748465286816,-2.9464445714326297,-0.5161343805962226
CT,0.2,0.05,72,24,-0.00015197995708676027,-0.01916202904168514,0.013379248138737587,-0.020529783420081632,-0.028689891447980797,-0.006269243366370659,-0.015196840871812984,-1.8979604430022816,1.3469150774917615,-2.0320482166624876,-2.8282244266107037,-0.6249632663002525
CT,0.2,0.1,72,24,0.007509691112042645,-0.010296775205197816,0.021659510680517,-0.018752155536847837,-0.026261326948337244,0.019684111704532627,0.753795956047461,-1.0243944898133526,2.1895780629075823,-1.857742774702071,-2.5919497140238072,1.9879121259669175
