kill_percent,step_ratio,operating_conditions,median_post_removal_R_degradation_percent,post_removal_R_degradation_ci_low,post_removal_R_degradation_ci_high,median_post_removal_R_abs_degradation_percent,post_removal_R_abs_degradation_ci_low,post_removal_R_abs_degradation_ci_high
0,1.5,48,0.0,0.0,0.0,0.0,0.0,0.0
0,2.0,48,0.0,0.0,0.0,0.0,0.0,0.0
0,2.5,48,0.0,0.0,0.0,0.0,0.0,0.0
5,1.5,48,9.18681993430765,8.128961927037997,15.882566429617697,1.1130148011712526,0.9537930741021494,2.2799492097175356
5,2.0,48,7.937879942128062,5.938535986378202,8.491758851275621,0.3640634009324295,0.29820920856492017,1.270300091647969
5,2.5,48,3.6983839838032937,3.1839903619549026,4.235770468432431,0.14488805486362888,0.09180740712689817,0.18135098512345182
10,1.5,48,24.521593549745223,18.010889110382543,63.25420552268919,5.6495208279192966,2.576703151215609,9.350736507080448
10,2.0,48,18.185176234445905,16.504178977016416,20.08450341344593,0.9263329052245195,0.7056794842576153,3.0312073093758443
10,2.5,48,11.058010678582097,9.921620842852253,11.85700611752214,0.3722159140723824,0.26732071222966836,0.41572325626292317
20,1.5,48,271.81156184393546,43.46252184262905,540.5077825267878,49.58930162992396,40.771404455653816,59.101800809084395
20,2.0,48,47.918474803037796,41.44815979058919,54.05331459392208,3.8990436111949522,1.8838619898306486,6.4584998148380475
20,2.5,48,28.288890751788372,26.784983764447865,31.289852072339702,0.9370190395797562,0.7384252486052179,1.0518419591051709
30,1.5,48,525.5721909171652,90.53004523246653,1052.9299878294023,112.34683572996403,88.2886280182177,160.40613171154854
30,2.0,48,91.98718525008287,81.75851654778343,155.55179486309896,8.336526938123185,6.865027981827609,9.9944604213695
30,2.5,48,53.33066009580516,43.51928541940006,68.38588759971927,1.7880555250128383,1.516584398029014,2.0468572304773835
40,1.5,48,2371.3360253990536,1433.0171089872601,2551.9479942979224,290.3974526439906,252.58249710369046,368.26843834349927
40,2.0,48,629.695130801608,133.35325865427362,1199.4131118307143,64.8343168252207,61.21729413788708,78.12123278336283
40,2.5,48,105.88367672028497,69.97094915595173,158.11400875316585,3.7639028216259254,3.5264540749348816,4.070286561926251
50,1.5,48,2966.2109812688136,1718.3942418576396,3389.051205828733,392.5188489327128,343.9584482347385,507.38470876606596
50,2.0,48,1346.4116939952416,385.55640326982405,2511.2411712012145,213.52083936496047,199.16577934280554,270.6661685951798
50,2.5,48,640.2768191810317,144.93703169614645,1135.303234186112,30.32463679979352,24.390040801050095,36.92715668499331
