comparator,pattern,operating_conditions,configuration_condition_comparisons,post_removal_R_median_reduction_percent,post_removal_R_ci_low,post_removal_R_ci_high,post_removal_R_abs_median_reduction_percent,post_removal_R_abs_ci_low,post_removal_R_abs_ci_high
CT,random,36,432,3.197843411401091,2.7271931294480467,3.692157809442981,3.566854624752083,2.715028772720923,3.9607663231820656
CT,scurve,36,432,-0.7945189663149305,-0.9642927391740996,-0.5404665575077516,0.8907395877656016,0.8483875891977272,1.1151501796534569
CT,sharp,36,432,15.01087085165857,1.9628166351664615,21.714676699663364,21.413840663547155,8.748652245622818,24.719445726777195
CT,zigzag,36,432,-0.8212969225705857,-1.0623577908177917,-0.3234628602985956,1.6094888982981836,0.9102992958398726,1.7637955510013654
LFTA,random,36,432,25.96829682543033,20.451352151202386,26.994765308317692,4.668413168662283,1.5792519782285404,8.417335832372096
LFTA,scurve,36,432,-0.20045011779322996,-0.24398591905105405,0.17976661853729703,0.42649709574645867,0.3228041431637164,0.8173111088256968
LFTA,sharp,36,432,28.090507689919036,12.445986342200358,40.83103443937987,59.96771124877286,29.13414598490872,67.30192138586821
LFTA,zigzag,36,432,0.10768523235045457,-0.5056121927831891,0.5401598143421532,1.241453961219932,1.0337423480847763,1.751230820079583
SBTA,random,36,432,3.6781313699342704,3.4369126068299725,3.8708819622048694,3.7251762917409224,2.6090155642254476,4.310168558422528
SBTA,scurve,36,432,-0.04265068976398445,-0.0751955935474391,0.11383131836918692,-0.017094536364672952,-0.2858475018020945,0.07309996112114248
SBTA,sharp,36,432,17.754914973098167,4.31864763225186,24.239999067443065,17.91846792925316,7.698850433847032,23.06536308552888
SBTA,zigzag,36,432,-0.7611684853906897,-1.0085350387475267,-0.4487688366448861,0.8383390554437348,0.6714117587917567,1.1215395199318468
SETA,random,36,432,2.7067536436786837,2.3324158524699516,3.2781421165906632,2.664816245655838,2.1926668964228457,3.409539302431491
SETA,scurve,36,432,0.17515203043391991,0.1378897809568458,1.195076509612805,0.11983650297584247,0.10476842984932788,0.2134831761067324
SETA,sharp,36,432,12.12188003018247,3.5641459593063254,17.04729927273476,12.814037774924625,5.927771578695368,18.89257712878942
SETA,zigzag,36,432,0.7228893523582941,0.3494998421568307,1.1718681642627848,0.7654751359539802,0.5961689005411663,0.8827683707583855
