kill_percent,operating_conditions,configuration_conditions,median_post_removal_R,post_removal_R_ci_low,post_removal_R_ci_high,median_post_removal_R_abs,post_removal_R_abs_ci_low,post_removal_R_abs_ci_high
0,144,1728,0.8490500750000001,0.781175555,0.99495,17.5909442575,15.8529603975,19.9636901725
5,144,1728,0.89109067,0.8430750375,1.0749615474999998,17.61404168,16.094417879999998,20.1797648625
10,144,1728,0.9709394175,0.917654365,1.1499883475,17.65539995,16.6876076875,20.894880317500004
20,144,1728,1.2133074225,1.12327209,1.26513399,22.2369047775,17.608227855,23.434981215
30,144,1728,1.422248835,1.3389450324999999,1.6821246650000001,22.768458922500002,17.915183929999998,38.69033193
40,144,1728,2.0479629150000003,1.7691387,5.856630335,36.43234405,29.230152519999997,52.734807565
50,144,1728,9.6295949325,5.3634516875,18.005544,57.970389385,46.7187470175,67.085384415
