pop,n,step_ratio,pattern,threshold_range,added_term,comparison,baseline,with_term,baseline_mean_r2,with_term_mean_r2,condition_mean_reduction,relative_reduction_percent,term_reduced_error,wilcoxon_statistic,p_value,q_value,significant,baseline_mean_r2_norm,with_term_mean_r2_norm,condition_mean_reduction_norm
500,4,1.5,random,HT1,D,P $\rightarrow$ PD,P,PD,3.665833239999999,0.5370310899999999,3.1288021500000003,85.3503677106709,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,1.8329166199999996,0.2685155449999999,1.564401075
500,4,1.5,random,HT2,D,P $\rightarrow$ PD,P,PD,3.2996193300000005,1.2836208399999998,2.01599849,61.097911255114376,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,1.6498096650000005,0.6418104199999999,1.007999245
500,4,1.5,scurve,HT1,D,P $\rightarrow$ PD,P,PD,6.81222332,1.82763652,4.9845868,73.17121835048707,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,3.40611166,0.91381826,2.4922934
500,4,1.5,scurve,HT2,D,P $\rightarrow$ PD,P,PD,7.156144069999999,3.6075202599999994,3.548623810000001,49.588490327864534,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,3.5780720349999995,1.8037601299999997,1.7743119050000005
500,4,1.5,sharp,HT1,D,P $\rightarrow$ PD,P,PD,4.0852565400000005,0.44558377,3.63967277,89.09288154520644,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,2.04262827,0.222791885,1.819836385
500,4,1.5,sharp,HT2,D,P $\rightarrow$ PD,P,PD,4.6224704800000005,1.7880866800000004,2.8343838000000003,61.31751002550481,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,2.31123524,0.8940433400000002,1.4171919000000002
500,4,1.5,zigzag,HT1,D,P $\rightarrow$ PD,P,PD,6.99624141,2.2057575299999996,4.790483879999999,68.47224958751102,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,3.498120705,1.1028787649999998,2.3952419399999996
500,4,1.5,zigzag,HT2,D,P $\rightarrow$ PD,P,PD,7.68669755,4.19597126,3.49072629,45.41256199159287,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,3.843348775,2.09798563,1.745363145
500,4,2.5,random,HT1,D,P $\rightarrow$ PD,P,PD,2.7177122799999993,1.1038901800000005,1.6138221000000004,59.38163917778672,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,1.3588561399999997,0.5519450900000002,0.8069110500000002
500,4,2.5,random,HT2,D,P $\rightarrow$ PD,P,PD,2.01212619,0.66062455,1.3515016400000002,67.16783702318392,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,1.006063095,0.330312275,0.6757508200000001
500,4,2.5,scurve,HT1,D,P $\rightarrow$ PD,P,PD,2.48035212,2.48151777,-0.0011656499999999,-0.0469953435482373,False,2515.0,0.9725715413852294,0.9829930600286004,False,1.24017606,1.240758885,-0.0005828249999999
500,4,2.5,scurve,HT2,D,P $\rightarrow$ PD,P,PD,2.22030781,1.6539434700000002,0.5663643399999999,25.508370391220662,True,42.0,1.3732250242604876e-17,2.881521362382662e-17,True,1.110153905,0.8269717350000001,0.2831821699999999
500,4,2.5,sharp,HT1,D,P $\rightarrow$ PD,P,PD,2.34576077,0.7062830800000001,1.6394776900000003,69.89108654929036,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,1.172880385,0.35314154,0.8197388450000002
500,4,2.5,sharp,HT2,D,P $\rightarrow$ PD,P,PD,1.83944143,0.5517667799999999,1.2876746499999998,70.00356896386747,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,0.919720715,0.2758833899999999,0.6438373249999999
500,4,2.5,zigzag,HT1,D,P $\rightarrow$ PD,P,PD,3.91789993,1.05348731,2.8644126200000004,73.11091837917361,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,1.958949965,0.526743655,1.4322063100000002
500,4,2.5,zigzag,HT2,D,P $\rightarrow$ PD,P,PD,2.992886299999999,0.73578173,2.25710457,75.41564709624956,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,1.4964431499999995,0.367890865,1.128552285
500,12,1.5,random,HT1,D,P $\rightarrow$ PD,P,PD,5.37815157,0.91515541,4.46299616,82.98383007453991,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,1.5525386283410545,0.2641826111569212,1.2883560171841333
500,12,1.5,random,HT2,D,P $\rightarrow$ PD,P,PD,4.353988879999999,1.6374188799999998,2.716569999999999,62.39267198128443,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,1.2568883259583186,0.4726821155720877,0.7842062103862306
500,12,1.5,scurve,HT1,D,P $\rightarrow$ PD,P,PD,7.61823189,2.7174820200000003,4.900749869999999,64.32922941651229,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,2.1991941162202457,0.7844694878824842,1.4147246283377617
500,12,1.5,scurve,HT2,D,P $\rightarrow$ PD,P,PD,8.075946620000002,4.73812857,3.3378180499999996,41.33036295378583,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,2.331324977509025,1.3677799026722783,0.9635450748367458
500,12,1.5,sharp,HT1,D,P $\rightarrow$ PD,P,PD,4.187508670000001,0.55467936,3.63282931,86.75395315659131,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,1.2088296289291962,0.1601221389049646,1.0487074900242312
500,12,1.5,sharp,HT2,D,P $\rightarrow$ PD,P,PD,4.641565829999999,1.8641084,2.77745743,59.83880293258709,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,1.3399046407059343,0.5381217432693214,0.8017828974366131
500,12,1.5,zigzag,HT1,D,P $\rightarrow$ PD,P,PD,7.397332519999999,2.58944463,4.80788789,64.99488669734696,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,2.135425960853586,0.7475082770910655,1.387917683762521
500,12,1.5,zigzag,HT2,D,P $\rightarrow$ PD,P,PD,8.000719629999999,4.606616120000001,3.39410351,42.42247781403634,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,2.3096088160456114,1.329815528467635,0.9797932875779768
500,12,2.5,random,HT1,D,P $\rightarrow$ PD,P,PD,3.9445515,1.28551859,2.65903291,67.41027237190337,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,1.1386939351786711,0.3710972519923841,0.767596683186287
500,12,2.5,random,HT2,D,P $\rightarrow$ PD,P,PD,2.5959750400000003,0.7108620000000002,1.88511304,72.61676291001626,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,0.7493934440767749,0.2052081835283379,0.544185260548437
500,12,2.5,scurve,HT1,D,P $\rightarrow$ PD,P,PD,3.0395995099999995,3.57337989,-0.53378038,-17.56087860403689,False,0.0,3.89655984509591e-18,8.312661002871274e-18,True,0.8774567976635772,1.0315459207041475,-0.1540891230405704
500,12,2.5,scurve,HT2,D,P $\rightarrow$ PD,P,PD,3.09100627,1.4650813,1.6259249699999998,52.601801095667135,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,0.8922966510256606,0.4229325414698434,0.4693641095558171
500,12,2.5,sharp,HT1,D,P $\rightarrow$ PD,P,PD,2.53303309,0.90321936,1.62981373,64.34237817240674,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,0.7312236681888649,0.2607369703166408,0.470486697872224
500,12,2.5,sharp,HT2,D,P $\rightarrow$ PD,P,PD,1.91663053,0.67810839,1.23852214,64.61976477020846,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,0.5532835762162776,0.1957530307531218,0.3575305454631557
500,12,2.5,zigzag,HT1,D,P $\rightarrow$ PD,P,PD,4.17385844,1.3991392000000002,2.77471924,66.47851813584747,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,1.2048891469466958,0.4038966968768789,0.800992450069817
500,12,2.5,zigzag,HT2,D,P $\rightarrow$ PD,P,PD,3.14567006,1.09337204,2.0522980200000003,65.24199871107908,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,0.9080767279613732,0.3156293208092051,0.5924474071521681
500,4,1.5,random,HT1,D,PI $\rightarrow$ full PTA,PI,full PTA,3.65574807,0.5409654600000001,3.11478261,85.20233206332514,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,1.827874035,0.27048273,1.557391305
500,4,1.5,random,HT2,D,PI $\rightarrow$ full PTA,PI,full PTA,3.29992745,1.2946597200000003,2.0052677299999995,60.767024741710586,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,1.649963725,0.6473298600000001,1.0026338649999995
500,4,1.5,scurve,HT1,D,PI $\rightarrow$ full PTA,PI,full PTA,6.8214852399999995,1.8241001100000005,4.9973851300000005,73.25948754819854,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,3.4107426199999997,0.9120500550000002,2.4986925650000003
500,4,1.5,scurve,HT2,D,PI $\rightarrow$ full PTA,PI,full PTA,7.191550970000001,3.613848490000001,3.5777024799999997,49.7486911366492,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,3.5957754850000003,1.8069242450000005,1.7888512399999998
500,4,1.5,sharp,HT1,D,PI $\rightarrow$ full PTA,PI,full PTA,4.08335689,0.45087873,3.63247816,88.95813561865762,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,2.041678445,0.225439365,1.81623908
500,4,1.5,sharp,HT2,D,PI $\rightarrow$ full PTA,PI,full PTA,4.63672151,1.7829084099999997,2.853813099999999,61.5480807688189,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,2.318360755,0.8914542049999998,1.4269065499999996
500,4,1.5,zigzag,HT1,D,PI $\rightarrow$ full PTA,PI,full PTA,6.898168579999999,2.2152617099999996,4.68290687,67.88623408794687,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,3.4490842899999996,1.1076308549999998,2.341453435
500,4,1.5,zigzag,HT2,D,PI $\rightarrow$ full PTA,PI,full PTA,7.674682279999998,4.2101738200000005,3.4645084599999993,45.14204410817643,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,3.837341139999999,2.1050869100000003,1.7322542299999997
500,4,2.5,random,HT1,D,PI $\rightarrow$ full PTA,PI,full PTA,2.71613794,1.10863911,1.60749883,59.1832545146805,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,1.35806897,0.554319555,0.803749415
500,4,2.5,random,HT2,D,PI $\rightarrow$ full PTA,PI,full PTA,2.00382192,0.6604480300000002,1.34337389,67.04058262822078,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,1.00191096,0.3302240150000001,0.671686945
500,4,2.5,scurve,HT1,D,PI $\rightarrow$ full PTA,PI,full PTA,2.48144327,2.4831859,-0.0017426299999999,-0.0702264694529964,False,2445.0,0.7832655420427076,0.8794560472058471,False,1.240721635,1.24159295,-0.0008713149999999
500,4,2.5,scurve,HT2,D,PI $\rightarrow$ full PTA,PI,full PTA,2.21660717,1.6790808599999998,0.53752631,24.24995810150699,True,53.0,1.9034507848001754e-17,3.929704846039072e-17,True,1.108303585,0.8395404299999999,0.268763155
500,4,2.5,sharp,HT1,D,PI $\rightarrow$ full PTA,PI,full PTA,2.35055863,0.7040420599999999,1.64651657,70.04788346845022,True,0.0,3.89655984509591e-18,8.312661002871274e-18,True,1.175279315,0.3520210299999999,0.823258285
