path,added_term,comparison,paired_repetitions,baseline_mean_late_abs_error,with_term_mean_late_abs_error,relative_reduction_percent,mean_paired_reduction,paired_bootstrap_ci95_low,paired_bootstrap_ci95_high,with_term_lower_repetitions,baseline_lower_repetitions,ties,wilcoxon_statistic,wilcoxon_two_sided_p,q_value
long_plateau,D,P $\rightarrow$ PD,100,0.0184084999999999,0.0184084999999999,0.0,0.0,0.0,0.0,0,0,100,0.0,1.0,1.0
long_plateau,D,PI $\rightarrow$ full PTA,100,0.0057945,0.0057945,0.0,0.0,0.0,0.0,0,0,100,0.0,1.0,1.0
long_plateau,I,P $\rightarrow$ PI,100,0.0184084999999999,0.0057945,68.5226933210202,0.012614,0.00922973125,0.0162597749999999,72,5,23,172.0,1.0416789424813902e-11,2.0833578849627805e-11
long_plateau,I,PD $\rightarrow$ full PTA,100,0.0184084999999999,0.0057945,68.5226933210202,0.012614,0.00919174375,0.0162193624999999,72,5,23,172.0,1.0416789424813902e-11,2.0833578849627805e-11
slow_ramp,D,P $\rightarrow$ PD,100,0.01653875,0.03525,-113.13581739853376,-0.01871125,-0.02306150625,-0.01445573125,10,68,22,197.5,2.1090886841383655e-11,3.3745418946213846e-11
slow_ramp,D,PI $\rightarrow$ full PTA,100,0.0085895,0.0215234999999999,-150.57919552942545,-0.012934,-0.0155940187499999,-0.01035023125,6,72,22,93.0,4.293434685240866e-13,2.376663487399925e-12
slow_ramp,I,P $\rightarrow$ PI,100,0.01653875,0.0085895,48.064394225682115,0.00794925,0.00605625,0.01003701875,67,0,33,0.0,5.941658718499811e-13,2.376663487399925e-12
slow_ramp,I,PD $\rightarrow$ full PTA,100,0.03525,0.0215234999999999,38.940425531914904,0.0137265,0.0104349749999999,0.0170050375,63,8,29,214.0,9.54055849359507e-10,1.2720744658126763e-09
