added_term,comparison,conditions,conditions_term_reduced_error,significant_term_reduced_error,significant_term_increased_error,median_condition_mean_reduction_norm,bootstrap_ci95_low,bootstrap_ci95_high,median_relative_reduction_percent,relative_bootstrap_ci95_low,relative_bootstrap_ci95_high
D,P $\rightarrow$ PD,32,30,30,1,0.8916419599183729,0.767596683186287,1.2317160591809966,64.8073257337777,61.11529180189023,68.47224958751102
D,PI $\rightarrow$ full PTA,32,30,30,1,0.8875227573974498,0.7680731819104547,1.2570146600410133,64.58420943360801,60.9975391373293,67.88623408794687
I,P $\rightarrow$ PI,32,18,2,2,0.00049326163722415,-0.0004750813292566,0.001027111902391,0.023792793302978447,-0.03504815301591995,0.1071206905520212
I,PD $\rightarrow$ full PTA,32,7,0,3,-0.00146084917887105,-0.00395810249999995,-0.0003776433677012,-0.32436628740047785,-0.4579594914343426,-0.1389680409055775
