rep,signed_arrival_recruitment_correlation
0,0.9980798461821665
1,0.998168783508286
2,0.9981565570413914
3,0.9981490075864745
4,0.9972942792206002
5,0.997680100559203
6,0.9983407141008283
7,0.9982172295801064
8,0.9978448932891884
9,0.9983636828074606
10,0.9981824362477273
11,0.9978551623954184
12,0.997620172245181
13,0.9980840059609457
14,0.998105862764839
15,0.9982036704270525
16,0.9982702463241904
17,0.998245241956409
18,0.9982164196634377
19,0.9983678481992762
20,0.9980646303377242
21,0.9977564457357267
22,0.9979342878921007
23,0.9978183078813057
24,0.9969231698103955
25,0.9981233135862331
26,0.9976787490520105
27,0.9984091354857284
28,0.9983324604651821
29,0.9976079754275146
30,0.9979943863400521
31,0.9982738792848187
32,0.9981624188567428
33,0.9982768179409933
34,0.9984940092519036
35,0.9982662233755769
36,0.9981151941591591
37,0.9977317751817179
38,0.9980373586512479
39,0.9980797742017974
40,0.9978493864252338
41,0.9975694408923005
42,0.9981277802836434
43,0.9982738618155834
44,0.9983911559108666
45,0.998315533451186
46,0.9979508765257288
47,0.9981867585210038
48,0.9983170952461289
49,0.9979679761078447
50,0.9982166496600612
51,0.9970907972189674
52,0.998323619092447
53,0.9978024876584711
54,0.9984419738905842
55,0.9984719552367828
56,0.9983418425782276
57,0.9981361508586315
58,0.9980908270978792
59,0.9982504177553903
60,0.9980154441303374
61,0.998272804495121
62,0.9977874352520273
63,0.9977772834391961
64,0.9981973506528795
65,0.9983758784401757
66,0.9981679235118073
67,0.998328952168878
68,0.998077827770399
69,0.998301698742313
70,0.9982098615373088
71,0.9980170619529372
72,0.9980393023228137
73,0.9983416316577997
74,0.9980209628759168
75,0.998389768422946
76,0.9981537263753464
77,0.9983650715584337
78,0.9983788699730689
79,0.998182000662475
80,0.9982885654429094
81,0.9983266748303125
82,0.9974223059095011
83,0.998199777854987
84,0.9983342622983206
85,0.9979793015768225
86,0.9980675584066167
87,0.9979070209662341
88,0.9982222525297147
89,0.9983166486713567
90,0.9983216686493535
91,0.9981794905576159
92,0.9983722142158485
93,0.9982457798743937
94,0.9982001786153631
95,0.9979424837255999
96,0.9979654034085693
97,0.9979854863089677
98,0.9984862814110512
99,0.9983824667090304
