t,signed_target_increment_over_LT,normalized_net_recruited_service,mean_stored_threshold_task1,mean_stored_threshold_task3
216,0.9486833413441976,0.908,-13.707694053649902,23.42119598388672
217,0.9486833413441976,0.972,-13.800046920776367,23.502059936523438
218,0.9486833413441976,0.932,-13.872257232666016,23.580854415893555
219,0.9486833413441976,0.972,-13.957244873046875,23.661130905151367
220,0.9486833413441976,0.928,-14.0288667678833,23.739337921142578
221,0.9486833413441976,0.948,-14.114750862121582,23.819379806518555
222,0.9486833413441976,0.944,-14.195047378540039,23.899484634399414
223,0.9486833413441976,0.968,-14.276887893676758,23.980003356933594
224,0.9486833413441976,0.964,-14.350238800048828,24.058807373046875
225,0.9486833413441976,0.904,-14.423359870910645,24.136255264282227
226,0.9486833413441976,0.96,-14.517390251159668,24.217666625976562
227,0.9486833413441976,0.976,-14.59460163116455,24.29807472229004
228,0.9486833413441976,0.932,-14.664872169494629,24.37605857849121
229,0.9486833413441976,0.976,-14.749048233032227,24.455522537231445
230,0.9486833413441976,0.9,-14.818374633789062,24.532564163208008
231,0.9486833413441976,0.98,-14.913483619689941,24.61392593383789
232,0.9486833413441976,0.952,-14.983222007751465,24.692506790161133
233,0.9486833413441976,0.96,-15.06057357788086,24.770795822143555
234,0.9486833413441976,0.908,-15.134661674499512,24.848079681396484
235,0.9486833413441976,0.98,-15.227046012878418,24.928974151611328
236,0.9486833413441976,0.912,-15.296317100524902,25.007089614868164
237,0.9486833413441976,0.98,-15.388047218322754,25.08846092224121
238,0.9486833413441976,0.968,-15.457796096801758,25.16705322265625
239,0.9486833413441976,0.9,-15.529218673706055,25.24393081665039
240,0.9486833413441976,0.988,-15.624165534973145,25.32512855529785
241,0.9486833413441976,0.892,-15.690773010253906,25.40283966064453
242,0.9486833413441976,0.976,-15.789520263671875,25.485578536987305
243,0.9486833413441976,0.952,-15.862120628356934,25.565893173217773
244,0.9486833413441976,0.932,-15.941205978393555,25.645915985107422
245,0.9486833413441976,0.976,-16.027420043945312,25.727418899536133
246,0.9486833413441976,0.968,-16.098783493041992,25.80649757385254
247,0.9486833413441976,0.896,-16.17069435119629,25.88386344909668
248,0.9486833413441976,0.976,-16.26761245727539,25.96590232849121
249,0.9486833413441976,0.984,-16.339513778686523,26.04551887512207
250,0.9486833413441976,0.884,-16.406023025512695,26.12200164794922
251,0.9486833413441976,0.964,-16.506511688232422,26.2042236328125
252,0.9486833413441976,0.972,-16.583049774169922,26.285085678100586
253,0.9486833413441976,0.948,-16.655258178710938,26.363880157470703
254,0.9486833413441976,0.94,-16.73430633544922,26.44273567199707
255,0.9486833413441976,0.968,-16.81638526916504,26.522361755371094
256,0.9486833413441976,0.908,-16.888843536376953,26.60027503967285
257,0.9486833413441976,0.972,-16.981853485107422,26.681795120239258
258,0.9486833413441976,0.98,-17.054723739624023,26.761249542236328
259,0.9486833413441976,0.896,-17.122554779052734,26.83792495727539
260,0.9486833413441976,0.968,-17.218780517578125,26.919273376464844
261,0.9486833413441976,0.952,-17.29296112060547,26.998910903930664
262,0.9486833413441976,1.0,-17.371366500854492,27.0782527923584
263,0.9486833413441976,0.888,-17.431663513183594,27.15304183959961
264,0.9486833413441976,0.968,-17.528974533081055,27.233213424682617
265,0.9486833413441976,0.956,-17.601978302001953,27.31167221069336
266,0.9486833413441976,0.908,-17.677722930908203,27.389482498168945
267,0.9486833413441976,0.952,-17.770631790161133,27.470903396606445
268,0.9486833413441976,0.988,-17.850820541381836,27.55202865600586
269,0.9486833413441976,0.92,-17.917354583740234,27.62966537475586
270,0.9486833413441976,0.972,-18.00563621520996,27.709848403930664
271,0.9486833413441976,0.912,-18.077165603637695,27.7879638671875
272,0.9486833413441976,0.98,-18.168893814086914,27.86933135986328
273,0.9486833413441976,0.92,-18.2386417388916,27.947921752929688
274,0.9486833413441976,1.0,-18.3278751373291,28.029056549072266
275,0.9486833413441976,0.908,-18.38996696472168,28.105640411376953
276,0.9486833413441976,0.964,-18.481647491455078,28.18583106994629
277,0.9486833413441976,0.952,-18.556156158447266,28.264665603637695
278,0.9486833413441976,0.956,-18.633758544921875,28.343204498291016
279,0.9486833413441976,0.912,-18.709583282470703,28.42109489440918
280,0.9486833413441976,0.972,-18.80108642578125,28.502239227294922
281,0.9486833413441976,0.96,-18.873579025268555,28.581315994262695
282,0.9486833413441976,0.932,-18.948455810546875,28.659387588500977
283,0.9486833413441976,0.976,-19.032718658447266,28.738941192626953
284,0.9486833413441976,0.888,-19.102134704589844,28.816070556640625
285,0.9486833413441976,0.988,-19.201784133911133,28.898582458496094
286,0.9486833413441976,0.964,-19.26970672607422,28.97760772705078
287,0.9486833413441976,0.928,-19.343046188354492,29.055274963378906
288,0.9486833413441976,0.968,-19.428390502929688,29.134775161743164
289,0.9486833413441976,0.944,-19.500722885131836,29.21256446838379
290,0.9486833413441976,0.948,-19.580249786376953,29.290767669677734
291,0.9486833413441976,0.932,-19.658706665039062,29.36903190612793
292,0.9486833413441976,0.952,-19.743160247802734,29.448776245117188
293,0.9486833413441976,0.976,-19.821674346923828,29.528226852416992
294,0.9486833413441976,0.928,-19.890987396240234,29.605253219604492
295,0.9486833413441976,0.908,-19.975690841674805,29.684114456176758
296,0.9486833413441976,1.004,-20.069650650024414,29.766586303710938
297,0.9486833413441976,0.916,-20.131591796875,29.844148635864258
298,0.9486833413441976,0.928,-20.22128677368164,29.92461395263672
299,0.9486833413441976,0.984,-20.309425354003906,30.00691032409668
300,0.9486833413441976,0.92,-20.378616333007812,30.086076736450195
301,0.9486833413441976,1.004,-20.468427658081055,30.167787551879883
302,0.9486833413441976,0.912,-20.52960968017578,30.244590759277344
303,0.9486833413441976,0.952,-20.620025634765625,30.324647903442383
304,0.9486833413441976,0.964,-20.6988525390625,30.40441131591797
305,0.9486833413441976,0.944,-20.772932052612305,30.48281478881836
306,0.9486833413441976,0.912,-20.85307502746582,30.561635971069336
307,0.9486833413441976,0.996,-20.94550895690918,30.643709182739258
308,0.9486833413441976,0.924,-21.01002311706543,30.721586227416992
309,0.9486833413441976,0.956,-21.097061157226562,30.801654815673828
310,0.9486833413441976,0.952,-21.17441177368164,30.881071090698242
311,0.9486833413441976,0.964,-21.252599716186523,30.960195541381836
312,0.9486833413441976,0.956,-21.326038360595703,31.037960052490234
313,0.9486833413441976,0.9,-21.40108871459961,31.115076065063477
314,0.9486833413441976,0.956,-21.49627113342285,31.196510314941406
315,0.9486833413441976,0.964,-21.57499122619629,31.27729606628418
316,0.9486833413441976,0.952,-21.65009307861328,31.35672378540039
317,0.9486833413441976,0.928,-21.728290557861328,31.43585777282715
318,0.9486833413441976,0.972,-21.815099716186523,31.516826629638672
319,0.9486833413441976,0.956,-21.887414932250977,31.59572410583496
320,0.9486833413441976,0.916,-21.963598251342773,31.67397689819336
321,0.9486833413441976,0.976,-22.053977966308594,31.755126953125
322,0.9486833413441976,0.968,-22.124990463256836,31.833852767944336
323,0.9486833413441976,0.912,-22.196548461914062,31.910865783691406
324,0.9486833413441976,0.952,-22.28717613220215,31.991134643554688
325,0.9486833413441976,0.936,-22.366212844848633,32.07110595703125
326,0.9486833413441976,0.952,-22.45089340209961,32.15220642089844
327,0.9486833413441976,0.96,-22.53076171875,32.233009338378906
328,0.9486833413441976,0.988,-22.60736656188965,32.31281280517578
329,0.9486833413441976,0.912,-22.672576904296875,32.38912582397461
330,0.9486833413441976,0.94,-22.762502670288086,32.468692779541016
331,0.9486833413441976,0.968,-22.845293045043945,32.54903030395508
332,0.9486833413441976,0.948,-22.9184627532959,32.627655029296875
333,0.9486833413441976,0.932,-22.997339248657227,32.70634078979492
334,0.9486833413441976,0.96,-23.082216262817383,32.786502838134766
335,0.9486833413441976,0.944,-23.158180236816406,32.865665435791016
336,0.9486833413441976,0.968,-23.23908042907715,32.94524002075195
337,0.9486833413441976,0.928,-23.311487197875977,33.02310562133789
338,0.9486833413441976,0.956,-23.39702606201172,33.10280227661133
339,0.9486833413441976,0.956,-23.474010467529297,33.18185043334961
340,0.9486833413441976,0.932,-23.550344467163086,33.260250091552734
341,0.9486833413441976,0.956,-23.63493537902832,33.34012985229492
342,0.9486833413441976,0.944,-23.712099075317383,33.41936111450195
343,0.9486833413441976,0.936,-23.79306983947754,33.49900817871094
344,0.9486833413441976,0.972,-23.877422332763672,33.57978057861328
345,0.9486833413441976,0.932,-23.949541091918945,33.65848159790039
346,0.9486833413441976,0.968,-24.034435272216797,33.73866653442383
347,0.9486833413441976,0.924,-24.107450485229492,33.817138671875
348,0.9486833413441976,0.988,-24.19508171081543,33.897796630859375
349,0.9486833413441976,0.912,-24.26114845275879,33.97496795654297
350,0.9486833413441976,0.984,-24.3519344329834,34.05539321899414
351,0.9486833413441976,0.932,-24.419254302978516,34.132686614990234
352,0.9486833413441976,0.932,-24.50273895263672,34.21146011352539
353,0.9486833413441976,0.98,-24.587703704833984,34.29171371459961
354,0.9486833413441976,0.932,-24.656335830688477,34.36919021606445
355,0.9486833413441976,0.952,-24.740001678466797,34.448143005371094
356,0.9486833413441976,0.96,-24.817726135253906,34.52680587768555
357,0.9486833413441976,0.896,-24.892187118530273,34.604461669921875
358,0.9486833413441976,0.972,-24.989395141601562,34.68679428100586
359,0.9486833413441976,0.972,-25.063072204589844,34.76705551147461
360,0.9486833413441976,0.916,-25.134681701660156,34.84524917602539
361,0.9486833413441976,0.972,-25.225006103515625,34.92634201049805
362,0.9486833413441976,0.944,-25.29744529724121,35.005367279052734
363,0.9486833413441976,0.956,-25.37820816040039,35.084808349609375
364,0.9486833413441976,0.952,-25.45493507385254,35.16360092163086
365,0.9486833413441976,0.952,-25.532495498657227,35.242095947265625
366,0.9486833413441976,0.904,-25.60976219177246,35.3203010559082
367,0.9486833413441976,0.996,-25.704547882080078,35.4024658203125
368,0.9486833413441976,0.94,-25.769155502319336,35.480438232421875
369,0.9486833413441976,0.96,-25.8503475189209,35.55917739868164
370,0.9486833413441976,0.932,-25.92488670349121,35.63691329956055
371,0.9486833413441976,0.952,-26.00881576538086,35.716129302978516
372,0.9486833413441976,0.948,-26.08679962158203,35.79505157470703
373,0.9486833413441976,0.916,-26.16597557067871,35.8740348815918
374,0.9486833413441976,0.976,-26.25708770751953,35.95591735839844
375,0.9486833413441976,0.956,-26.328832626342773,36.03537368774414
376,0.9486833413441976,0.964,-26.405576705932617,36.11418533325195
377,0.9486833413441976,0.92,-26.478700637817383,36.19163513183594
378,0.9486833413441976,0.948,-26.566797256469727,36.271629333496094
379,0.9486833413441976,0.964,-26.647045135498047,36.351688385009766
380,0.9486833413441976,0.96,-26.721418380737305,36.43038558959961
381,0.9486833413441976,0.912,-26.795915603637695,36.508079528808594
382,0.9486833413441976,0.964,-26.887224197387695,36.589027404785156
383,0.9486833413441976,0.96,-26.962486267089844,36.668617248535156
384,0.9486833413441976,0.956,-27.03787612915039,36.74720001220703
385,0.9486833413441976,0.932,-27.113746643066406,36.825138092041016
386,0.9486833413441976,0.936,-27.197874069213867,36.9045524597168
387,0.9486833413441976,0.936,-27.281997680664062,36.9850959777832
388,0.9486833413441976,0.988,-27.367246627807617,37.0667610168457
389,0.9486833413441976,0.94,-27.434322357177734,37.14493942260742
390,0.9486833413441976,0.924,-27.515724182128906,37.2238883972168
391,0.9486833413441976,0.976,-27.60383415222168,37.305030822753906
392,0.9486833413441976,0.948,-27.674835205078125,37.38374328613281
393,0.9486833413441976,0.96,-27.753803253173828,37.462520599365234
394,0.9486833413441976,0.912,-27.828380584716797,37.5402946472168
395,0.9486833413441976,0.98,-27.919767379760742,37.62132263183594
396,0.9486833413441976,0.92,-27.989171981811523,37.69956970214844
397,0.9486833413441976,0.98,-28.078065872192383,37.78036117553711
398,0.9486833413441976,0.92,-28.14723777770996,37.85837936401367
399,0.9486833413441976,0.968,-28.235897064208984,37.93893814086914
400,0.9486833413441976,0.932,-28.309288024902344,38.017784118652344
401,0.9486833413441976,0.984,-28.394325256347656,38.09811019897461
402,0.9486833413441976,0.932,-28.461545944213867,38.1753044128418
403,0.9486833413441976,0.952,-28.54492950439453,38.25397872924805
404,0.9486833413441976,0.924,-28.622371673583984,38.33235549926758
405,0.9486833413441976,0.976,-28.709911346435547,38.412925720214844
406,0.9486833413441976,0.94,-28.78034210205078,38.49106979370117
407,0.9486833413441976,0.952,-28.861711502075195,38.569984436035156
408,0.9486833413441976,0.944,-28.939395904541016,38.64860534667969
409,0.9486833413441976,0.908,-29.019756317138672,38.72764587402344
410,0.9486833413441976,0.996,-29.1138916015625,38.8102912902832
411,0.9486833413441976,0.924,-29.17897605895996,38.88874053955078
412,0.9486833413441976,0.944,-29.266586303710938,38.96937942504883
413,0.9486833413441976,0.948,-29.348962783813477,39.05043029785156
414,0.9486833413441976,0.98,-29.43027114868164,39.13154602050781
415,0.9486833413441976,0.92,-29.49976348876953,39.20988464355469
416,0.9486833413441976,0.976,-29.5887451171875,39.29076385498047
417,0.9486833413441976,0.944,-29.659488677978516,39.369224548339844
418,0.9486833413441976,0.944,-29.73968505859375,39.448097229003906
419,0.9486833413441976,0.952,-29.820295333862305,39.52738571166992
420,0.9486833413441976,0.944,-29.898353576660156,39.606380462646484
421,0.9486833413441976,0.968,-29.979087829589844,39.685791015625
422,0.9486833413441976,0.924,-30.051328659057617,39.76348876953125
423,0.9486833413441976,0.944,-30.138185501098633,39.8433723449707
424,0.9486833413441976,0.984,-30.219810485839844,39.923675537109375
425,0.9486833413441976,0.932,-30.287004470825195,40.0008430480957
426,0.9486833413441976,0.924,-30.370365142822266,40.079490661621094
427,0.9486833413441976,0.98,-30.458175659179688,40.16033172607422
428,0.9486833413441976,0.94,-30.52739143371582,40.2383918762207
429,0.9486833413441976,0.936,-30.608673095703125,40.317222595214844
430,0.9486833413441976,0.984,-30.692211151123047,40.397178649902344
431,0.9486833413441976,0.904,-30.759061813354492,40.474002838134766
432,0.9486833413441976,0.972,-30.852466583251953,40.554786682128906
