pop,n,step_ratio,pattern,family,threshold_range,threshold_mode,gain_scheme,run_method_id,config_label,R,R_abs
100,4,1.5,random,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,PTA-HM-latent-Agent,1.1329834300000001,142.2311752
100,4,1.5,scurve,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.9719354,11.4872701
100,4,1.5,sharp,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.70497446,0.7870843200000001
100,4,1.5,zigzag,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,1.48168402,26.63354703
100,4,2.0,random,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,PTA-HM-latent-Agent,0.7216277999999999,88.0040597
100,4,2.0,scurve,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.38822812,11.060921659999998
100,4,2.0,sharp,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,PTA-HT2-clamped-Agent,0.5340222,0.73365628
100,4,2.0,zigzag,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.75845727,26.080356579999997
100,4,2.5,random,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,PTA-HM-latent-Agent,0.44601649000000004,41.38002822000001
100,4,2.5,scurve,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,PTA-HT2-clamped-Agent,0.40154505999999995,11.02946624
100,4,2.5,sharp,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,PTA-HM-latent-Agent,0.30340143,1.25469575
100,4,2.5,zigzag,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,PTA-HM-latent-Agent,0.5790363,25.5683375
100,8,1.5,random,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,PTA-HM-latent-Agent,0.7771849000000001,48.85062843
100,8,1.5,scurve,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.65585364,9.127380500000001
100,8,1.5,sharp,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.35441831,0.47019933999999997
100,8,1.5,zigzag,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,PTA-HT1-clamped-Agent,0.7882305599999999,12.278756040000001
100,8,2.0,random,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,PTA-HM-latent-Agent,0.46082115,27.23175546
