PTA_configuration,evaluation_scope,comparator_configuration,PTA_lower_R,total,median_R_reduction_pct,R_ci_low,R_ci_high,PTA_lower_R_abs,median_R_abs_reduction_pct,R_abs_ci_low,R_abs_ci_high
PTA-HT1-clamped-Agent,held-out conditions,CT-HM,92,143,37.2671083730795,26.347794816647006,47.08298841960558,83,1.8987959995639625,-0.6133788816724328,3.4819539552641054
PTA-HT1-clamped-Agent,held-out conditions,LFTA-HM,107,143,64.21780582256315,60.533627555709145,68.44684864942117,82,2.878718012499859,-0.022107512179969646,6.858416277621904
PTA-HT1-clamped-Agent,held-out conditions,SBTA-HT2,99,143,47.3817360558406,42.03652366934738,53.80316588205976,90,4.845287374742235,2.2719572171222224,5.449280321930983
PTA-HT1-clamped-Agent,held-out conditions,SETA-HT1-latent,97,143,48.14601699195564,42.364556856633314,51.72891787927474,91,4.420151652726267,4.062594808468756,4.965236509359261
PTA-HT2-clamped-Agent,held-out conditions,CT-HM,103,143,46.456524466971146,42.866674798109614,47.63825820258951,95,3.1675193368872923,2.4858942532544503,4.720821524841979
PTA-HT2-clamped-Agent,held-out conditions,LFTA-HM,125,143,64.03664968982409,56.92774713338237,72.33559069969486,86,4.156187943164968,0.7871420164157983,5.797532405995209
PTA-HT2-clamped-Agent,held-out conditions,SBTA-HT2,112,143,50.33991120391572,43.64092627092545,55.54718712131339,108,4.73614238597343,4.504481934960259,5.316946459867178
PTA-HT2-clamped-Agent,held-out conditions,SETA-HT1-latent,143,143,39.54185478922641,31.50472917490109,45.77998922040951,131,5.146300594067488,4.9782791030752005,9.971033698286746
PTA-HM-latent-Agent,held-out conditions,CT-HM,143,143,24.916033450871367,22.95506734352406,29.264565889264237,131,7.862744895556483,5.9826879113288545,10.429153344993413
PTA-HM-latent-Agent,held-out conditions,LFTA-HM,143,143,58.867215728318925,55.76641894456181,61.705693539171946,99,6.709713651799465,5.489776673280023,46.55875422688768
PTA-HM-latent-Agent,held-out conditions,SBTA-HT2,143,143,38.590118764867235,35.282661023272546,41.46719999075161,134,8.277821928409068,7.108353059756977,25.76325009463485
PTA-HM-latent-Agent,held-out conditions,SETA-HT1-latent,127,143,35.98135063968867,33.892138915532556,46.02700893897006,132,5.522592661849258,4.994190036123792,6.533580914895365
