family,config_id,method,method_label,threshold_mode,threshold_range,gain_scheme,pop,n,step_ratio,pattern,tune_objective,tune_mean_R,P_gain,I_gain,D_gain,eta,Thresh_increase,Thresh_decrease,Agent_pid_p_spread,Agent_pid_i_spread,Agent_pid_d_spread,source_row
SETA,SETA_HT1,SETA_HT1,SETA-HT1,latent,HT1,,500,4,2.0,scurve,422.1621212,422.1621212,0.008101250571175509,0.0,0.0,0.008101250571175509,,,,,,"{""D_gain"": ""0.0"", ""I_gain"": ""0.0"", ""P_gain"": ""0.008101250571175509"", ""eta"": ""0.008101250571175509"", ""method"": ""SETA_HT1"", ""method_label"": ""SETA-HT1"", ""n"": ""4"", ""pattern"": ""scurve"", ""pop"": ""500"", ""risk_weight"": ""0.0"", ""step_ratio"": ""2.0"", ""threshold_mode"": ""latent"", ""trial_number"": ""12"", ""tune_mean_post"": ""422.1621212"", ""tune_objective"": ""422.1621212"", ""tune_sd_post"": ""0.22938781128601707"", ""tune_seeds_per_trial"": ""20"", ""tune_trials"": ""100""}"
SETA,SETA_HT2,SETA_HT2,SETA-HT2,latent,HT2,,500,4,2.0,scurve,422.4453758,422.4453758,0.002722415290841033,0.0,0.0,0.002722415290841033,,,,,,"{""D_gain"": ""0.0"", ""I_gain"": ""0.0"", ""P_gain"": ""0.002722415290841033"", ""eta"": ""0.002722415290841033"", ""method"": ""SETA_HT2"", ""method_label"": ""SETA-HT2"", ""n"": ""4"", ""pattern"": ""scurve"", ""pop"": ""500"", ""risk_weight"": ""0.0"", ""step_ratio"": ""2.0"", ""threshold_mode"": ""latent"", ""trial_number"": ""64"", ""tune_mean_post"": ""422.4453758"", ""tune_objective"": ""422.4453758"", ""tune_sd_post"": ""0.32664883823967333"", ""tune_seeds_per_trial"": ""20"", ""tune_trials"": ""100""}"
PTA,TD1_PID1,TD1_PID1,PTA-HM,clamped,HM,Global,500,4,2.0,scurve,1.18503305,1.18503305,0.0036812297722640134,2.2676020512638267e-08,0.1197674383932257,,,,,,,"{""D_gain"": ""0.1197674383932257"", ""I_gain"": ""2.2676020512638267e-08"", ""P_gain"": ""0.0036812297722640134"", ""gain_scheme"": ""Global"", ""method"": ""TD1_PID1"", ""method_label"": ""PTA-HM"", ""n"": ""4"", ""pattern"": ""scurve"", ""pop"": ""500"", ""risk_weight"": ""0.0"", ""step_ratio"": ""2.0"", ""threshold_mode"": ""clamped"", ""trial_number"": ""56"", ""tune_mean_post"": ""1.18503305"", ""tune_objective"": ""1.18503305"", ""tune_sd_post"": ""0.03754689915078839"", ""tune_seeds_per_trial"": ""20"", ""tune_trials"": ""100""}"
PTA,TD2_PID1,TD2_PID1,PTA-HT1,clamped,HT1,Global,500,4,2.0,scurve,0.3980978,0.3980978,0.019754430685970544,2.2916204110320522e-05,0.0003498783037016512,,,,,,,"{""D_gain"": ""0.0003498783037016512"", ""I_gain"": ""2.2916204110320522e-05"", ""P_gain"": ""0.019754430685970544"", ""gain_scheme"": ""Global"", ""method"": ""TD2_PID1"", ""method_label"": ""PTA-HT1"", ""n"": ""4"", ""pattern"": ""scurve"", ""pop"": ""500"", ""risk_weight"": ""0.0"", ""step_ratio"": ""2.0"", ""threshold_mode"": ""clamped"", ""trial_number"": ""37"", ""tune_mean_post"": ""0.3980978"", ""tune_objective"": ""0.3980978"", ""tune_sd_post"": ""0.030467152458102532"", ""tune_seeds_per_trial"": ""20"", ""tune_trials"": ""100""}"
PTA,TD3_PID1,TD3_PID1,PTA-HT2,clamped,HT2,Global,500,4,2.0,scurve,0.4594211,0.4594211,0.019794626721958836,1.1163427305240822e-05,0.00036528935485965477,,,,,,,"{""D_gain"": ""0.00036528935485965477"", ""I_gain"": ""1.1163427305240822e-05"", ""P_gain"": ""0.019794626721958836"", ""gain_scheme"": ""Global"", ""method"": ""TD3_PID1"", ""method_label"": ""PTA-HT2"", ""n"": ""4"", ""pattern"": ""scurve"", ""pop"": ""500"", ""risk_weight"": ""0.0"", ""step_ratio"": ""2.0"", ""threshold_mode"": ""clamped"", ""trial_number"": ""20"", ""tune_mean_post"": ""0.4594211"", ""tune_objective"": ""0.4594211"", ""tune_sd_post"": ""0.045292984271297465"", ""tune_seeds_per_trial"": ""20"", ""tune_trials"": ""100""}"
PTA,TD1_PID1,TD1_PID1,PTA-HM-AgentPID,clamped,HM,Agent,500,4,2.0,scurve,1.08273615,1.08273615,0.004084416681156907,9.048763570624196e-09,0.1374836286121079,,,,0.7251165694810818,0.4059509297584052,0.25716359688659574,"{""Agent_pid_d_spread"": ""0.25716359688659574"", ""Agent_pid_i_spread"": ""0.4059509297584052"", ""Agent_pid_p_spread"": ""0.7251165694810818"", ""D_gain"": ""0.1374836286121079"", ""I_gain"": ""9.048763570624196e-09"", ""P_gain"": ""0.004084416681156907"", ""gain_scheme"": ""Agent"", ""method"": ""TD1_PID1"", ""method_label"": ""PTA-HM-AgentPID"", ""n"": ""4"", ""pattern"": ""scurve"", ""pop"": ""500"", ""risk_weight"": ""0.0"", ""step_ratio"": ""2.0"", ""threshold_mode"": ""clamped"", ""trial_number"": ""67"", ""tune_mean_post"": ""1.08273615"", ""tune_objective"": ""1.08273615"", ""tune_sd_post"": ""0.021590504697240845"", ""tune_seeds_per_trial"": ""20"", ""tune_trials"": ""240""}"
PTA,TD2_PID1,TD2_PID1,PTA-HT1-AgentPID,clamped,HT1,Agent,500,4,2.0,scurve,0.3138607,0.3138607,0.02978891421901874,9.227049596038109e-09,0.08560744687259682,,,,0.07194857162956186,0.563970819170544,0.7973152203702368,"{""Agent_pid_d_spread"": ""0.7973152203702368"", ""Agent_pid_i_spread"": ""0.563970819170544"", ""Agent_pid_p_spread"": ""0.07194857162956186"", ""D_gain"": ""0.08560744687259682"", ""I_gain"": ""9.227049596038109e-09"", ""P_gain"": ""0.02978891421901874"", ""gain_scheme"": ""Agent"", ""method"": ""TD2_PID1"", ""method_label"": ""PTA-HT1-AgentPID"", ""n"": ""4"", ""pattern"": ""scurve"", ""pop"": ""500"", ""risk_weight"": ""0.0"", ""step_ratio"": ""2.0"", ""threshold_mode"": ""clamped"", ""trial_number"": ""230"", ""tune_mean_post"": ""0.3138607"", ""tune_objective"": ""0.3138607"", ""tune_sd_post"": ""0.032084790576320056"", ""tune_seeds_per_trial"": ""20"", ""tune_trials"": ""240""}"
PTA,TD3_PID1,TD3_PID1,PTA-HT2-AgentPID,clamped,HT2,Agent,500,4,2.0,scurve,0.38535865,0.38535865,0.02971837652668734,1.3131069339964257e-06,0.13122790565960768,,,,0.29105476175308437,0.12126347333363853,0.4522629344664019,"{""Agent_pid_d_spread"": ""0.4522629344664019"", ""Agent_pid_i_spread"": ""0.12126347333363853"", ""Agent_pid_p_spread"": ""0.29105476175308437"", ""D_gain"": ""0.13122790565960768"", ""I_gain"": ""1.3131069339964257e-06"", ""P_gain"": ""0.02971837652668734"", ""gain_scheme"": ""Agent"", ""method"": ""TD3_PID1"", ""method_label"": ""PTA-HT2-AgentPID"", ""n"": ""4"", ""pattern"": ""scurve"", ""pop"": ""500"", ""risk_weight"": ""0.0"", ""step_ratio"": ""2.0"", ""threshold_mode"": ""clamped"", ""trial_number"": ""40"", ""tune_mean_post"": ""0.38535865"", ""tune_objective"": ""0.38535865"", ""tune_sd_post"": ""0.04712290270332296"", ""tune_seeds_per_trial"": ""20"", ""tune_trials"": ""240""}"
PTA,TD1_PID1,TD1_PID1,PTA-HM,latent,HM,Global,500,4,2.0,scurve,1.19826865,1.19826865,0.0022769414217558358,2.106606630706451e-10,0.11955764333464251,,,,,,,"{""D_gain"": ""0.11955764333464251"", ""I_gain"": ""2.106606630706451e-10"", ""P_gain"": ""0.0022769414217558358"", ""gain_scheme"": ""Global"", ""method"": ""TD1_PID1"", ""method_label"": ""PTA-HM"", ""n"": ""4"", ""pattern"": ""scurve"", ""pop"": ""500"", ""risk_weight"": ""0.0"", ""step_ratio"": ""2.0"", ""threshold_mode"": ""latent"", ""trial_number"": ""24"", ""tune_mean_post"": ""1.19826865"", ""tune_objective"": ""1.19826865"", ""tune_sd_post"": ""0.05585623212203855"", ""tune_seeds_per_trial"": ""20"", ""tune_trials"": ""100""}"
PTA,TD2_PID1,TD2_PID1,PTA-HT1,latent,HT1,Global,500,4,2.0,scurve,1.20170105,1.20170105,0.01957973139417024,3.095208327040837e-08,0.0033576154376505248,,,,,,,"{""D_gain"": ""0.0033576154376505248"", ""I_gain"": ""3.095208327040837e-08"", ""P_gain"": ""0.01957973139417024"", ""gain_scheme"": ""Global"", ""method"": ""TD2_PID1"", ""method_label"": ""PTA-HT1"", ""n"": ""4"", ""pattern"": ""scurve"", ""pop"": ""500"", ""risk_weight"": ""0.0"", ""step_ratio"": ""2.0"", ""threshold_mode"": ""latent"", ""trial_number"": ""82"", ""tune_mean_post"": ""1.20170105"", ""tune_objective"": ""1.20170105"", ""tune_sd_post"": ""0.03277559687918503"", ""tune_seeds_per_trial"": ""20"", ""tune_trials"": ""100""}"
PTA,TD3_PID1,TD3_PID1,PTA-HT2,latent,HT2,Global,500,4,2.0,scurve,1.3012335,1.3012335,0.019997352978227054,1.3270182542493007e-06,0.001295842153680272,,,,,,,"{""D_gain"": ""0.001295842153680272"", ""I_gain"": ""1.3270182542493007e-06"", ""P_gain"": ""0.019997352978227054"", ""gain_scheme"": ""Global"", ""method"": ""TD3_PID1"", ""method_label"": ""PTA-HT2"", ""n"": ""4"", ""pattern"": ""scurve"", ""pop"": ""500"", ""risk_weight"": ""0.0"", ""step_ratio"": ""2.0"", ""threshold_mode"": ""latent"", ""trial_number"": ""51"", ""tune_mean_post"": ""1.3012335"", ""tune_objective"": ""1.3012335"", ""tune_sd_post"": ""0.07454716576030734"", ""tune_seeds_per_trial"": ""20"", ""tune_trials"": ""100""}"
PTA,TD1_PID1,TD1_PID1,PTA-HM-AgentPID,latent,HM,Agent,500,4,2.0,scurve,1.10444865,1.10444865,0.0020215299132439347,5.688042575714875e-08,0.1765840305774112,,,,0.01998728935557493,0.263974200347048,0.11381916704003883,"{""Agent_pid_d_spread"": ""0.11381916704003883"", ""Agent_pid_i_spread"": ""0.263974200347048"", ""Agent_pid_p_spread"": ""0.01998728935557493"", ""D_gain"": ""0.1765840305774112"", ""I_gain"": ""5.688042575714875e-08"", ""P_gain"": ""0.0020215299132439347"", ""gain_scheme"": ""Agent"", ""method"": ""TD1_PID1"", ""method_label"": ""PTA-HM-AgentPID"", ""n"": ""4"", ""pattern"": ""scurve"", ""pop"": ""500"", ""risk_weight"": ""0.0"", ""step_ratio"": ""2.0"", ""threshold_mode"": ""latent"", ""trial_number"": ""226"", ""tune_mean_post"": ""1.10444865"", ""tune_objective"": ""1.10444865"", ""tune_sd_post"": ""0.056889847637689055"", ""tune_seeds_per_trial"": ""20"", ""tune_trials"": ""240""}"
PTA,TD2_PID1,TD2_PID1,PTA-HT1-AgentPID,latent,HT1,Agent,500,4,2.0,scurve,1.1218818,1.1218818,0.029519491048474854,9.13572916777614e-07,0.08703537506315952,,,,0.04508435332306995,0.27073299697433706,0.5198421826863027,"{""Agent_pid_d_spread"": ""0.5198421826863027"", ""Agent_pid_i_spread"": ""0.27073299697433706"", ""Agent_pid_p_spread"": ""0.04508435332306995"", ""D_gain"": ""0.08703537506315952"", ""I_gain"": ""9.13572916777614e-07"", ""P_gain"": ""0.029519491048474854"", ""gain_scheme"": ""Agent"", ""method"": ""TD2_PID1"", ""method_label"": ""PTA-HT1-AgentPID"", ""n"": ""4"", ""pattern"": ""scurve"", ""pop"": ""500"", ""risk_weight"": ""0.0"", ""step_ratio"": ""2.0"", ""threshold_mode"": ""latent"", ""trial_number"": ""184"", ""tune_mean_post"": ""1.1218818"", ""tune_objective"": ""1.1218818"", ""tune_sd_post"": ""0.034727580720440875"", ""tune_seeds_per_trial"": ""20"", ""tune_trials"": ""240""}"
PTA,TD3_PID1,TD3_PID1,PTA-HT2-AgentPID,latent,HT2,Agent,500,4,2.0,scurve,1.23958925,1.23958925,0.02978762603684267,2.0465162001740282e-08,0.12861366260601112,,,,0.012637551699879693,0.18727111367594657,0.5016571819375552,"{""Agent_pid_d_spread"": ""0.5016571819375552"", ""Agent_pid_i_spread"": ""0.18727111367594657"", ""Agent_pid_p_spread"": ""0.012637551699879693"", ""D_gain"": ""0.12861366260601112"", ""I_gain"": ""2.0465162001740282e-08"", ""P_gain"": ""0.02978762603684267"", ""gain_scheme"": ""Agent"", ""method"": ""TD3_PID1"", ""method_label"": ""PTA-HT2-AgentPID"", ""n"": ""4"", ""pattern"": ""scurve"", ""pop"": ""500"", ""risk_weight"": ""0.0"", ""step_ratio"": ""2.0"", ""threshold_mode"": ""latent"", ""trial_number"": ""230"", ""tune_mean_post"": ""1.23958925"", ""tune_objective"": ""1.23958925"", ""tune_sd_post"": ""0.07721765677538771"", ""tune_seeds_per_trial"": ""20"", ""tune_trials"": ""240""}"
CT,CT_HM,CT_HM,CT-HM,clamped,HM,,500,4,2.0,scurve,,,,,,,,,,,,
CT,CT_HT1,CT_HT1,CT-HT1,clamped,HT1,,500,4,2.0,scurve,,,,,,,,,,,,
CT,CT_HT2,CT_HT2,CT-HT2,clamped,HT2,,500,4,2.0,scurve,,,,,,,,,,,,
