comparator,R_focal_lower,R_total,R_median_reduction_percent,R_ci_low,R_ci_high,R_abs_focal_lower,R_abs_total,R_abs_median_reduction_percent,R_abs_ci_low,R_abs_ci_high
CT,15,24,24.005272478909767,-23.911795370610143,53.78066489380109,15,24,58.67774330597197,-23.116843706598345,78.84635498721164
LFTA,17,24,50.25057008125646,12.079278936965853,62.462998860934874,17,24,39.67541582282994,9.018750869702362,79.98325103553788
SBTA,16,24,29.18501036423272,-8.222452239783596,45.0758184604513,14,24,19.746094038476734,-3.45635919301035,53.70036712848829
SETA,21,24,33.10629494157359,12.841558799962261,45.357072884579175,13,24,2.951230377856351,-2.154973978639818,20.31878274544615
