comparator,operating_condition_ranges,R_pta_lower,R_reduction_percent,R_ci_low,R_ci_high,R_abs_pta_lower,R_abs_reduction_percent,R_abs_ci_low,R_abs_ci_high
CT,432,424,34.598790661059134,29.12113101786432,37.69917201842471,414,9.698586775909778,8.541935129875789,10.530213507780562
LFTA,432,420,58.07435208226786,53.70198436426995,61.811260505808654,372,11.53461002922681,9.052779196807359,13.642373964141951
SBTA,432,430,37.85053869064502,32.917473317379674,41.7050323881869,397,6.105450295749915,5.591885665605112,7.717411180111123
SETA,432,413,22.863203291950562,17.554970821361593,28.31320291798126,353,3.9505972958817526,3.620638146353361,4.301508189250924
