threshold_range,demand_class,operating_conditions,median_best_pta_R,median_pta_reduction_percent
HM,All,144,0.5835645700000001,20.812332778331456
HM,Iterative gradual,36,0.7641137149999999,18.833835090841234
HM,Iterative non-gradual,36,0.7191463650000001,23.942529705296266
HM,Non-iterative gradual,36,0.46131795,15.94491854129101
HM,Non-iterative non-gradual,36,0.39651724499999996,24.318234819766914
HT1,All,144,0.6268907850000001,48.36078819216995
HT1,Iterative gradual,36,0.369962425,62.450046988580056
HT1,Iterative non-gradual,36,0.54105593,50.102026997685336
HT1,Non-iterative gradual,36,1.2211835249999998,8.656506184338742
HT1,Non-iterative non-gradual,36,0.448060815,31.715929764364127
HT2,All,144,0.5328731099999999,41.94371131812257
HT2,Iterative gradual,36,0.37421165,60.974173263887174
HT2,Iterative non-gradual,36,0.555614835,57.907394601434525
HT2,Non-iterative gradual,36,0.8711843850000001,10.84284587037886
HT2,Non-iterative non-gradual,36,0.34723592000000003,42.459050082490954
