pop,n,step_ratio,pattern,threshold_range,R_latent,R_abs_latent,R_clamped,R_abs_clamped,R_log_ratio,R_abs_log_ratio
50,4,1.5,random,HM,1.3166440499999998,160.62547924,1.310718,161.84095268,0.004511034213429213,-0.007538640156421964
50,4,1.5,random,HT1,1.73513745,214.9987371,1.7355137999999999,216.28258779,-0.0002168757241022137,-0.005953675284376686
50,4,1.5,random,HT2,1.56240285,194.07255152000002,1.56554445,194.40578064000002,-0.0020087301703337977,-0.001715561328096804
50,4,1.5,scurve,HM,1.73063243,11.25291146,2.9556468000000002,12.43539092,-0.5352306019748165,-0.0999196222211617
50,4,1.5,scurve,HT1,2.29343064,12.23024575,2.593675,12.519118659999998,-0.12302699630659117,-0.023344925097178552
50,4,1.5,scurve,HT2,3.0812632200000003,12.75832825,3.13253403,12.86564798,-0.01650262199042181,-0.008376557686343275
50,4,1.5,sharp,HM,1.820616,2.22860172,1.8894731999999999,1.86587783,-0.03712315469837037,0.17764272873070114
50,4,1.5,sharp,HT1,1.5230103,2.19387245,1.8104550000000001,3.8144386,-0.17288935804425792,-0.5531252736065077
50,4,1.5,sharp,HT2,1.77614025,2.46336605,1.8395249999999999,2.83012612,-0.03506477507333427,-0.13879254836792723
50,4,1.5,zigzag,HM,2.8224249400000003,24.96490807,3.70270799,28.08072341,-0.2714680178965442,-0.11761217969965596
50,4,1.5,zigzag,HT1,2.75880677,28.70328501,3.12977958,30.82786491,-0.1261643238096157,-0.07140740935662802
50,4,1.5,zigzag,HT2,3.38885772,29.32591423,3.5553518200000003,29.735755049999998,-0.047961114338962475,-0.013878625628950758
50,4,2.0,random,HM,0.8759682,108.51347933999999,0.8663567999999999,109.40528429,0.01103295595980745,-0.008184792476808395
50,4,2.0,random,HT1,1.4971266,188.64351922999998,1.5047376,189.64712474,-0.005070859840265928,-0.005306014730234396
50,4,2.0,random,HT2,1.2426515999999999,156.48764797,1.2434196,156.65306905,-0.000617842340501605,-0.001056528815299763
50,4,2.0,scurve,HM,1.5194406900000001,11.00832171,1.60560262,11.5787337,-0.055156850250984796,-0.05051860796088654
50,4,2.0,scurve,HT1,1.50029035,11.739771699999999,1.9107437200000001,12.09701378,-0.24183389242469547,-0.029976259228905844
50,4,2.0,scurve,HT2,1.78657182,11.93745578,1.92830969,12.09818778,-0.076345211697881,-0.013374669631283876
50,4,2.0,sharp,HM,1.0796418,2.13729674,1.0850406,1.10490984,-0.004988086191266447,0.659778086028884
50,4,2.0,sharp,HT1,1.1547011999999999,1.97688039,1.4137613999999998,3.64446331,-0.20241220287005732,-0.6116890729653608
50,4,2.0,sharp,HT2,1.1702814,2.00159559,1.2279144,2.45097578,-0.04807288774331923,-0.20254156532553233
50,4,2.0,zigzag,HM,1.62166657,24.21583856,1.79954673,26.69320437,-0.10408044916391036,-0.09740211000294982
50,4,2.0,zigzag,HT1,1.84226079,27.794583250000002,2.1836128500000003,29.5817378,-0.16998726806938136,-0.062316050122701416
50,4,2.0,zigzag,HT2,1.96402479,28.04982018,2.10004787,28.40621561,-0.06696430765545747,-0.012625759474984944
50,4,2.5,random,HM,0.55151775,65.57028013,0.5341515,66.34968056,0.03199451653787144,-0.011816399803345229
50,4,2.5,random,HT1,1.3282845,166.53341315999998,1.3345259999999999,167.3052347,-0.00468791258749763,-0.004623927877263095
50,4,2.5,random,HT2,0.9760515,123.47504794000001,0.97752525,123.76273083,-0.0015087713135092714,-0.002327176868083265
50,4,2.5,scurve,HM,1.46311307,10.88320764,1.00275209,11.21367504,0.3778180955152448,-0.02991300138856842
50,4,2.5,scurve,HT1,1.3010027,11.59416837,1.5307962599999998,11.85289347,-0.16265275654456746,-0.022069767480164818
50,4,2.5,scurve,HT2,1.2183245200000001,11.583964909999999,1.2847329099999998,11.694721999999999,-0.05307427402151671,-0.0095158224507753
50,4,2.5,sharp,HM,0.7497892500000001,2.7332156199999997,0.5887552500000001,0.7117354,0.2417816045541367,1.3455278646759723
50,4,2.5,sharp,HT1,0.9022575,1.44357487,1.1224905,2.9551689499999996,-0.21840520028862317,-0.7164332377387924
50,4,2.5,sharp,HT2,0.8099437500000001,1.51546741,0.8536499999999999,1.87985598,-0.05255647290657943,-0.2154712546939392
50,4,2.5,zigzag,HM,1.21154779,23.7126838,0.95258332,26.023077819999997,0.2404764082043873,-0.09297366637439966
50,4,2.5,zigzag,HT1,1.47682522,27.36934559,1.74222856,28.99559526,-0.16527041324910666,-0.05772031785264113
50,4,2.5,zigzag,HT2,1.31544617,27.46134215,1.42292192,27.756164480000002,-0.07853654675071377,-0.010678683252558994
50,8,1.5,random,HM,0.92518243,58.03236192,0.92047253,59.01377331,0.005103781937497387,-0.016770043513422046
50,8,1.5,random,HT1,1.54563006,97.70297398000001,1.55626352,98.67637443,-0.006856135698589146,-0.009913551805696254
50,8,1.5,random,HT2,1.3006541200000001,82.83674692000001,1.3055851200000002,83.00646436999999,-0.0037840009528641054,-0.002046722418438446
50,8,1.5,scurve,HM,1.41937141,9.1870189,1.78824833,9.75834742,-0.23102244953978845,-0.060331565825118776
50,8,1.5,scurve,HT1,1.60581306,9.77333619,1.7679974100000002,9.99761273,-0.09621729152906787,-0.022688456851970316
50,8,1.5,scurve,HT2,1.71326988,9.91526848,1.7773179200000002,10.04364275,-0.03670168634901172,-0.01286403239460859
