threshold_range,comparisons,R_latent_lower,R_reduction_percent,R_ci_low,R_ci_high,R_abs_latent_lower,R_abs_reduction_percent,R_abs_ci_low,R_abs_ci_high
HM,144,51,-2.4230331524422333,-4.580118507446507,-0.7302870591101351,108,2.203106572199831,1.5851849509389337,3.130235622424482
HT1,144,141,15.823179489255711,14.088218890572858,17.130722208309802,144,4.042632374592847,2.2569582354450946,5.908734797326409
HT2,144,144,5.144487523654162,4.596324037611499,6.369132386818965,144,1.3459596002609708,1.1925906725928082,1.5359442142673152
