comparator,configuration_condition_comparisons,R_pta_lower,R_reduction_percent,R_ci_low,R_ci_high,R_abs_pta_lower,R_abs_reduction_percent,R_abs_ci_low,R_abs_ci_high
CT,1728,1501,29.754355610644545,24.884329658380555,32.56686684918826,1490,8.239117343074264,7.51836596723564,8.948038718360118
LFTA,1728,1681,51.94813666010275,48.956214174125,54.8815484394903,1458,9.720061436610916,8.58673552315221,12.284605293189543
SBTA,1728,1582,30.844262867577367,26.97962714127741,32.991760497838605,1435,4.906783653487345,4.462652798305166,5.976484807928751
SETA,1728,1446,20.21241608215337,17.357589677981444,22.671887096283537,1300,3.4525560519891973,2.8722317601247105,4.079114590567546
