pop,n,pattern,step_ratio,family,threshold_range,threshold_mode,gain_scheme,run_method_id,R
100,8,scurve,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.65585364
100,8,scurve,2.0,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.27258611
100,8,scurve,2.5,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.23873448
100,8,sharp,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.35441831
100,8,sharp,2.0,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.28053374999999997
100,8,sharp,2.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.22431861
100,8,zigzag,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.7882305599999999
100,8,zigzag,2.0,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.40067239
100,8,zigzag,2.5,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.30423466
100,12,random,1.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.61307694
100,12,random,2.0,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.3499155
100,12,random,2.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.21912889
100,12,scurve,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.5254741700000001
100,12,scurve,2.0,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.20548358
100,12,scurve,2.5,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.16568045
100,12,sharp,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.23739311999999999
100,12,sharp,2.0,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.1947882
100,12,sharp,2.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.18308588
100,12,zigzag,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.54643819
100,12,zigzag,2.0,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.27879943
100,12,zigzag,2.5,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.2079047
500,4,random,1.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,1.115062
500,4,random,2.0,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.70039326
500,4,random,2.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.40615327
500,4,scurve,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.96738352
500,4,scurve,2.0,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.31815909000000003
500,4,scurve,2.5,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.36189182000000003
500,4,sharp,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.6919507899999999
500,4,sharp,2.0,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.48683424000000003
500,4,sharp,2.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.28273339
500,4,zigzag,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,1.4911058099999999
500,4,zigzag,2.0,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.7049926499999999
500,4,zigzag,2.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.53099601
500,8,random,1.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.7578198399999999
500,8,random,2.0,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.43398396
500,8,random,2.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.24980920999999998
500,8,scurve,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.6586989
500,8,scurve,2.0,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.2421589
500,8,scurve,2.5,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.21113441000000002
500,8,sharp,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.3395296
500,8,sharp,2.0,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.2399487
500,8,sharp,2.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.20409344000000001
500,8,zigzag,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.78306581
500,8,zigzag,2.0,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.3613881
500,8,zigzag,2.5,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.26332268
500,12,random,1.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.5845211
500,12,random,2.0,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.32195326
500,12,random,2.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.18332128
500,12,scurve,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.52037691
500,12,scurve,2.0,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.18442896
500,12,scurve,2.5,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.14709275
500,12,sharp,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.21775651
500,12,sharp,2.0,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.15693858
500,12,sharp,2.5,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.16650655
500,12,zigzag,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.53567367
500,12,zigzag,2.0,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.24447903
500,12,zigzag,2.5,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.17504676
1000,4,random,1.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,1.11719417
1000,4,random,2.0,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.6953951700000001
1000,4,random,2.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.40153663
1000,4,scurve,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.9659832
1000,4,scurve,2.0,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.30831193
1000,4,scurve,2.5,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.34965187999999997
1000,4,sharp,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.69606494
1000,4,sharp,2.0,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.48046608
1000,4,sharp,2.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.27961345000000004
1000,4,zigzag,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,1.4980756199999998
1000,4,zigzag,2.0,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.6970632600000001
1000,4,zigzag,2.5,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.52623519
1000,8,random,1.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.7526043099999999
1000,8,random,2.0,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.43187879
1000,8,random,2.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.24536276
1000,8,scurve,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.65927221
1000,8,scurve,2.0,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.2357947
1000,8,scurve,2.5,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.20342463
1000,8,sharp,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.3363342
1000,8,sharp,2.0,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.23252836
1000,8,sharp,2.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.20151758
1000,8,zigzag,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.78222321
1000,8,zigzag,2.0,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.35521377
1000,8,zigzag,2.5,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.25821521000000003
1000,12,random,1.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.58260804
1000,12,random,2.0,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.3154479
1000,12,random,2.5,PTA,HM,latent,Agent,PTA|TD1_PID1|latent|Agent,0.17729365000000002
1000,12,scurve,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.51910745
1000,12,scurve,2.0,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.18125425
1000,12,scurve,2.5,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.14750167
1000,12,sharp,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.21372759
1000,12,sharp,2.0,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.14918949
1000,12,sharp,2.5,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.15282022
1000,12,zigzag,1.5,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.53501038
1000,12,zigzag,2.0,PTA,HT1,clamped,Agent,PTA|TD2_PID1|clamped|Agent,0.24035382
1000,12,zigzag,2.5,PTA,HT2,clamped,Agent,PTA|TD3_PID1|clamped|Agent,0.17077798000000002
