pop,n,step_ratio,pattern,threshold_range,gain_scheme,R_latent,R_abs_latent,R_clamped,R_abs_clamped,R_log_ratio,R_abs_log_ratio
50,4,1.5,random,HM,Agent,1.16094285,144.23890367,1.2472017,154.71304156,-0.07166992511576761,-0.07010107815693793
50,4,1.5,random,HM,Global,1.2064941,149.77901669000002,1.2474380999999999,154.88766232,-0.03337321228119343,-0.033539109157541505
50,4,1.5,random,HT1,Agent,1.65278145,203.49106066000002,1.75714935,212.79451356,-0.0612332124964375,-0.044704899035166445
50,4,1.5,random,HT1,Global,1.7328832499999998,212.66584361000002,1.77866925,216.69175941,-0.026078832603619203,-0.018753755680565615
50,4,1.5,random,HT2,Agent,1.46189745,181.34280126000002,1.55618625,191.99620621999998,-0.06250290130786171,-0.05708644290605811
50,4,1.5,random,HT2,Global,1.5558851999999999,191.71138933999998,1.5802479,194.27192903,-0.015537089351640746,-0.013267813037745536
50,4,1.5,scurve,HM,Agent,2.22484965,11.941220659999999,1.50291248,11.594563350000001,0.39228446143219625,0.029460024044940043
50,4,1.5,scurve,HM,Global,2.29314132,11.951179629999999,1.73058271,11.656351469999999,0.2814644546417352,0.024978765305892395
50,4,1.5,scurve,HT1,Agent,2.03603809,12.076809659999999,0.9454286199999999,11.489110590000001,0.767122694945609,0.049887375078623585
50,4,1.5,scurve,HT1,Global,2.10477644,12.11696414,1.02153842,11.52924247,0.7228995112946374,0.0497198344245831
50,4,1.5,scurve,HT2,Agent,2.75526537,12.56499161,1.74635089,12.03091112,0.4559853558623612,0.04343523882549767
50,4,1.5,scurve,HT2,Global,2.7913557200000003,12.58558398,1.79567702,12.0470329,0.4411452782127946,0.04373363311989545
50,4,1.5,sharp,HM,Agent,1.3788221999999999,1.2980620600000001,1.49805375,1.86512685,-0.08293710913790528,-0.36245663771115055
50,4,1.5,sharp,HM,Global,1.5227232000000002,1.4118885399999999,1.60484595,2.11598831,-0.05252745982480495,-0.40459379112786925
50,4,1.5,sharp,HT1,Agent,1.0512054,1.12625209,0.7112269499999999,0.8422665899999999,0.3907012075209192,0.29055408530448595
50,4,1.5,sharp,HT1,Global,1.2696189,1.46823906,1.0267758,1.20149751,0.21229317532834271,0.2004950605628165
