threshold_range,comparisons,R_latent_lower,R_reduction_percent,R_ci_low,R_ci_high,R_abs_latent_lower,R_abs_reduction_percent,R_abs_ci_low,R_abs_ci_high
HM,288,219,8.318159663260838,6.255952685065125,10.936184504685665,243,2.0321542602131704,1.4075758944812278,2.5595600261171247
HT1,288,102,-37.209721547976194,-45.108993997690305,-20.25813864508086,112,-1.609747572154041,-2.3490999006310798,-1.2824616526406984
HT2,288,72,-31.292361130358803,-38.25498334465631,-26.69820634928437,96,-1.599384462878417,-2.048436476383997,-1.1160313341067152
