threshold_range,comparisons,R_agent_lower,R_reduction_percent,R_ci_low,R_ci_high,R_abs_agent_lower,R_abs_reduction_percent,R_abs_ci_low,R_abs_ci_high
All,864,739,7.6465394387966406,6.8551773325636,8.678265201952318,645,0.45105831620085857,0.377648608397807,0.5290257746765836
HM,288,243,6.709991769634294,5.71351446547943,7.304271900671155,177,0.17800332798897367,0.09382047922443792,0.3015240050039836
HT1,288,240,7.868894151475914,7.028727581096328,8.778186173785407,231,0.7019702228745373,0.5542291542328548,0.8206948687374593
HT2,288,256,9.5217643782608,7.526711511174544,11.012521311718771,237,0.4398991224866644,0.36316037856027883,0.5115601154411897
