comparator,operating_conditions,R_pta_lower,R_reduction_percent,R_ci_low,R_ci_high,R_abs_pta_lower,R_abs_reduction_percent,R_abs_ci_low,R_abs_ci_high
CT,144,144,54.500766584047696,49.26327003447337,59.09766877228395,132,13.237030938174666,8.667254676803203,15.673498068966573
LFTA,144,144,68.13693146285961,66.21374313145407,69.44002737033799,111,7.966547494317977,6.433592248583874,9.323273897318751
SBTA,144,144,57.3205336603,53.56204416258025,59.05008528712412,133,13.576750020871643,8.220917633132284,15.663773744814113
SETA,144,144,48.59073953240165,46.03978810603989,51.72891787927474,109,5.659812332751768,1.2637169277901261,6.558830947327676
