comparator,operating_condition_ranges,R_pta_lower,R_reduction_percent,R_ci_low,R_ci_high,R_abs_pta_lower,R_abs_reduction_percent,R_abs_ci_low,R_abs_ci_high
CT,432,432,41.69734549928044,38.18604608741391,45.15521258644631,408,11.37309055362844,10.434046028416832,11.959027527650978
LFTA,432,432,62.50592566736333,58.89629392293995,66.94974652969906,379,13.581224157479465,12.162428120468672,17.000420323828436
SBTA,432,432,44.45563649905064,40.829900249486975,49.80870504765578,392,9.38449751808237,8.104087565363304,10.589149608098293
SETA,432,426,31.52688548117153,25.311311293881122,35.842210469204616,351,5.814959406332876,5.330040067700404,6.443247270442809
